"symbol","seqid"
"LOC116920274","NC_059182.1"
"LOC116920274","NC_059182.1"
"LOC116936510","NC_059182.1"
"LOC116936527","NC_059182.1"
"LOC116936564","NC_059182.1"
"LOC116925479","NC_059182.1"
"LOC116930270","NC_059182.1"
"LOC123476823","NC_059182.1"
"LOC116930116","NC_059182.1"
"LOC116930116","NC_059182.1"
"LOC116917939","NC_059182.1"
"LOC116936636","NC_059182.1"
"LOC116915926","NC_059183.1"
"LOC116919850","NC_059184.1"
"LOC116919073","NC_059184.1"
"LOC116919073","NC_059184.1"
"LOC116919073","NC_059184.1"
"LOC116919134","NC_059184.1"
"LOC116919166","NC_059184.1"
"LOC116918842","NC_059184.1"
"LOC116935383","NC_059184.1"
"LOC116918443","NC_059184.1"
"LOC116918247","NC_059184.1"
"LOC116921284","NC_059185.1"
"LOC116921230","NC_059185.1"
"LOC116921725","NC_059185.1"
"LOC116920756","NC_059185.1"
"LOC116920030","NC_059185.1"
"LOC116920404","NC_059185.1"
"LOC116920358","NC_059185.1"
"LOC116922505","NC_059186.1"
"LOC116922268","NC_059186.1"
"LOC116922902","NC_059186.1"
"LOC116922816","NC_059186.1"
"LOC116922962","NC_059186.1"
"LOC116922875","NC_059186.1"
"LOC116922875","NC_059186.1"
"LOC116925877","NC_059187.1"
"LOC116935055","NC_059188.1"
"LOC116935055","NC_059188.1"
"LOC116926505","NC_059188.1"
"LOC116926505","NC_059188.1"
"LOC116926505","NC_059188.1"
"LOC116929579","NC_059189.1"
"LOC116929591","NC_059189.1"
"LOC123475606","NC_059189.1"
"LOC123475606","NC_059189.1"
"LOC116928794","NC_059189.1"
"LOC116929017","NC_059189.1"
"LOC116929709","NC_059189.1"
"LOC116920335","NC_059182.1"
"LOC116920335","NC_059182.1"
"LOC116925677","NC_059182.1"
"LOC116927629","NC_059182.1"
"LOC116927629","NC_059182.1"
"LOC116927629","NC_059182.1"
"LOC116927629","NC_059182.1"
"LOC116931745","NC_059182.1"
"LOC116917695","NC_059183.1"
"LOC116920404","NC_059185.1"
"LOC116920358","NC_059185.1"
"LOC123471478","NC_059185.1"
"LOC116920404","NC_059185.1"
"LOC116920358","NC_059185.1"
"LOC123471478","NC_059185.1"
"LOC116920404","NC_059185.1"
"LOC116920358","NC_059185.1"
"LOC123471478","NC_059185.1"
"LOC116920404","NC_059185.1"
"LOC116920358","NC_059185.1"
"LOC123471478","NC_059185.1"
"LOC116920404","NC_059185.1"
"LOC116920358","NC_059185.1"
"LOC123471478","NC_059185.1"
"LOC116920191","NC_059185.1"
"LOC116926532","NC_059188.1"
"LOC116929043","NC_059189.1"
"LOC116916995","NC_059183.1"
"LOC116920786","NC_059185.1"
"LOC116920786","NC_059185.1"
"LOC116928686","NC_059189.1"
"LOC116918610","NC_059182.1"
"LOC116921852","NC_059185.1"
"LOC116922836","NC_059186.1"
"LOC116922836","NC_059186.1"
"LOC116929435","NC_059189.1"
"LOC116920915","NC_059185.1"
"LOC116916393","NC_059183.1"
"LOC116922347","NC_059186.1"
"LOC116928976","NC_059189.1"
"LOC116925877","NC_059187.1"
"LOC116925877","NC_059187.1"
"LOC116925877","NC_059187.1"
"LOC116929399","NC_059189.1"
"LOC116921369","NC_059185.1"
"LOC116920587","NC_059182.1"
"LOC116919035","NC_059182.1"
