"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032886","GO:0032886","regulation of microtubule-based process","2/36","20/8255",0.1,22.9305555555556,6.49840571382581,0.00334418072861058,0.399439173559643,0.393719103564461,"LOC116929579/LOC116922347",2
"GO:0016072","GO:0016072","rRNA metabolic process","4/36","146/8255",0.0273972602739726,6.28234398782344,4.26180377057511,0.00356334119800592,0.399439173559643,0.393719103564461,"LOC116936510/LOC116918247/LOC116922268/LOC116920786",4
"GO:0000462","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","2/36","26/8255",0.0769230769230769,17.6388888888889,5.62356160192979,0.00562717906004354,0.399439173559643,0.393719103564461,"LOC116936510/LOC116922268",2
"GO:0097435","GO:0097435","supramolecular fiber organization","3/36","109/8255",0.0275229357798165,6.3111620795107,3.6940655144805,0.0116537964852317,0.399439173559643,0.393719103564461,"LOC116920030/LOC116925877/LOC116929579",3
"GO:0030490","GO:0030490","maturation of SSU-rRNA","2/36","38/8255",0.0526315789473684,12.0687134502924,4.52591394108744,0.0117798280403296,0.399439173559643,0.393719103564461,"LOC116936510/LOC116922268",2
"GO:0016192","GO:0016192","vesicle-mediated transport","5/36","356/8255",0.0140449438202247,3.2205836454432,2.83452356203678,0.0181935612378691,0.399439173559643,0.393719103564461,"LOC116925479/LOC116930116/LOC116919850/LOC116919134/LOC116920335",5
"GO:0006364","GO:0006364","rRNA processing","3/36","137/8255",0.0218978102189781,5.0212895377129,3.14105178510652,0.0214195243702051,0.399439173559643,0.393719103564461,"LOC116936510/LOC116918247/LOC116922268",3
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","2/36","53/8255",0.0377358490566038,8.65303983228512,3.6990143701532,0.0221675324023776,0.399439173559643,0.393719103564461,"LOC116936510/LOC116922268",2
"GO:0000209","GO:0000209","protein polyubiquitination","2/36","60/8255",0.0333333333333333,7.64351851851852,3.41800968200564,0.0279382316736065,0.399439173559643,0.393719103564461,"LOC116919073/LOC116920587",2
"GO:0032446","GO:0032446","protein modification by small protein conjugation","3/36","160/8255",0.01875,4.29947916666667,2.78914406940206,0.0319821187487586,0.399439173559643,0.393719103564461,"LOC116919073/LOC116918842/LOC116920587",3
"GO:0051084","GO:0051084","'de novo' post-translational protein folding","1/36","10/8255",0.1,22.9305555555556,4.5922793239326,0.0427868618036822,0.399439173559643,0.393719103564461,"LOC116930116",1
"GO:0051085","GO:0051085","chaperone cofactor-dependent protein refolding","1/36","10/8255",0.1,22.9305555555556,4.5922793239326,0.0427868618036822,0.399439173559643,0.393719103564461,"LOC116930116",1
"GO:0000479","GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","1/36","11/8255",0.0909090909090909,20.8459595959596,4.35886527872836,0.0469663248691844,0.399439173559643,0.393719103564461,"LOC116936510",1
