gene_id,SRR18457646,SRR18457114,SRR18457498,SRR18457762,SRR18457122,SRR18457271,SRR18457788,SRR18457520,SRR18457521,SRR18457644,SRR18457119,SRR18457054,SRR18457009,SRR18457118,SRR18457099,SRR18457329,SRR18457613,SRR18457101,SRR18457127,SRR18456998,SRR18457032,SRR18457008,SRR18457110,SRR18457201,SRR18457569,SRR18457737,SRR18457116,SRR18457053,SRR18457738,SRR18457224,SRR18457175,SRR18457692,SRR18457121,SRR18457317,SRR18456940,SRR18457115,SRR18457693,SRR18457694,SRR18457199,SRR18457764,SRR18457272,SRR18457200,SRR18457412,SRR18457791,SRR18457505,SRR18456950,SRR18457316,SRR18457112,SRR18457109,SRR18457113,SRR18457484,SRR18457614,SRR18456951,SRR18457497,SRR18457222,SRR18457331,SRR18457661,SRR18457666,SRR18457111,SRR18457485,SRR18457667,SRR18456996,SRR18457789,SRR18457120,SRR18457649,SRR18457176,SRR18457117
LOC116915295,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116915296,0,0,0,0,0,2,0,2,6,0,0,4,2,0,0,3,0,0,0,0,0,0,3,4,0,0,2,4,0,4,0,0,0,2,8,3,0,0,0,0,0,0,2,0,2,4,0,6,0,10,0,4,4,4,0,6,0,1,1,0,0,0,0,3,0,0,2
LOC116915298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116915299,0,2,2,0,0,0,0,0,6,2,0,0,12,0,0,2,0,0,0,0,4,6,16,0,0,0,4,8,2,0,2,0,0,0,10,8,0,0,2,0,0,2,4,0,2,1,0,20,4,20,0,14,0,5,0,14,0,0,8,0,2,0,0,4,2,0,0
LOC116915300,15,56,78,57,42,50,70,10,84,66,0,93,71,29,51,9,0,20,67,51,117,22,95,45,24,74,35,191,131,117,115,69,34,14,98,81,75,33,28,52,0,35,33,28,47,52,83,82,56,79,24,189,54,47,15,68,0,69,49,50,78,3,21,16,265,45,17
LOC116915306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116915308,0,4,2,1,2,0,0,2,4,2,0,1,4,0,0,4,0,0,0,2,2,0,2,2,0,1,5,6,3,3,0,3,2,1,10,3,9,0,0,2,0,0,0,1,7,8,3,2,2,2,0,2,4,2,0,18,0,0,2,2,0,0,0,0,0,0,0
LOC116915310,2,6,0,2,3,2,2,0,10,0,0,0,8,0,6,6,0,0,2,0,2,2,8,0,2,2,0,8,4,2,2,4,1,0,10,2,0,0,0,0,0,0,0,0,0,8,0,4,6,10,0,5,10,0,2,22,0,2,7,0,2,0,0,0,2,0,0
LOC116915312,0,1,0,2,0,2,2,0,1,0,0,2,1,2,0,0,0,2,1,1,0,0,4,2,0,0,0,2,2,2,4,1,0,1,10,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,3,0,0,0,5,0,2,3,0,2,0,0,0,2,0,1
LOC116915316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
