"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"503","NC_059182.1",356901,356902,"*",1.04836190052877e-05,0.000136095740152585,20.5536963796775
"505","NC_059182.1",356931,356932,"*",3.95707063668174e-06,6.25568900207863e-05,17.7602744076733
"3208","NC_059182.1",1767854,1767855,"*",6.86860399959265e-05,0.000680546641408106,19.9806576402321
"3563","NC_059182.1",1936625,1936626,"*",0.000718451488610981,0.00450009807312179,-16.1202125548475
"4998","NC_059182.1",2586922,2586923,"*",1.27364554172675e-05,0.000162378393975701,-18.3209777599679
"8322","NC_059182.1",4284400,4284401,"*",1.42107081697678e-14,2.66039415578232e-12,-30.3997988433493
"8379","NC_059182.1",4354347,4354348,"*",0.000145870642035733,0.00126551676517342,-18.4735554300772
"11385","NC_059182.1",6696712,6696713,"*",3.20964321328102e-13,4.07739318201449e-11,30.3931138521608
"11388","NC_059182.1",6697084,6697085,"*",5.28858536452998e-05,0.00054368491738824,-16.508630107057
"12634","NC_059182.1",7442393,7442394,"*",8.33718059288815e-07,1.60299196588665e-05,22.4558098024146
"12635","NC_059182.1",7442409,7442410,"*",4.51292224411915e-06,6.86002753091102e-05,20.2699642161526
"15399","NC_059182.1",11198810,11198811,"*",2.88556443938093e-05,0.000324808630091074,20.8477554715374
"15400","NC_059182.1",11198854,11198855,"*",2.17260362707592e-06,3.6799767150043e-05,22.7398205659075
"16417","NC_059182.1",12026298,12026299,"*",3.30662442930924e-07,7.44377723345643e-06,22.6755218216319
"16422","NC_059182.1",12030608,12030609,"*",0.000300720065522617,0.00225151678057302,17.8508771929825
"16647","NC_059182.1",12167576,12167577,"*",0.00058890076346984,0.00385058826408495,-17.9574958478799
"19091","NC_059182.1",13471939,13471940,"*",0.000121282880518454,0.00107581846883826,19.4455529837444
"23747","NC_059182.1",15715552,15715553,"*",1.07830560326072e-08,4.45992212883533e-07,-29.9889624724062
"25605","NC_059182.1",16584481,16584482,"*",5.19366001578908e-10,3.02849978297733e-08,26.8963922294172
"28291","NC_059182.1",18754280,18754281,"*",1.70279946270155e-17,6.7298418764771e-15,38.1465937926996
"28293","NC_059182.1",18754468,18754469,"*",7.58939328321736e-05,0.000732763945329274,19.5573294629898
"38080","NC_059183.1",5548110,5548111,"*",3.32741237031087e-07,7.44377723345643e-06,26.5341400172861
"38927","NC_059183.1",5964632,5964633,"*",0.000159586175359426,0.00135476855788419,19.578313253012
"39540","NC_059183.1",7053155,7053156,"*",1.55203468067487e-05,0.00019438687884368,-21.6288384512684
"41563","NC_059183.1",8359853,8359854,"*",4.11226877178355e-06,6.44376212389165e-05,-19.7014925373134
"47329","NC_059183.1",12549898,12549899,"*",2.1873536371169e-05,0.000257629698252476,-22.1707339090663
"51599","NC_059183.1",14763812,14763813,"*",0.000224221276380202,0.00180035006791056,16.2503661751782
"54766","NC_059183.1",16224644,16224645,"*",2.86904353957618e-09,1.39797094113321e-07,-16.7265886287625
"55167","NC_059183.1",16419551,16419552,"*",1.64932371920317e-05,0.00020370293295853,18.6678532311062
"62724","NC_059184.1",792909,792910,"*",0.000569800777925347,0.00378837638706627,-15.9606094388703
"62748","NC_059184.1",806403,806404,"*",0.00141851218838028,0.007508404544745,-17.2971160295104
"62749","NC_059184.1",806555,806556,"*",4.84419463362579e-06,7.27037987839953e-05,-25.4708023421427
"62750","NC_059184.1",806559,806560,"*",3.34891725880187e-06,5.36581022052173e-05,-25.6830601092896
"63530","NC_059184.1",1315280,1315281,"*",2.64350191877582e-05,0.000301376164265564,22.701009397842
"64040","NC_059184.1",1519323,1519324,"*",2.11741320351434e-08,7.68534567846988e-07,22.1500721500722
"67437","NC_059184.1",2858546,2858547,"*",2.50700182782498e-12,2.7866892192417e-10,36.619372919951
"68293","NC_059184.1",3356307,3356308,"*",3.0145921908692e-08,1.03104850220401e-06,26.4774281805746
"68983","NC_059184.1",3785256,3785257,"*",1.54382908545457e-06,2.77343437220298e-05,23.1454652404087
"70861","NC_059184.1",4682942,4682943,"*",5.02019392172712e-08,1.5028058882161e-06,29.0613785193681
"70864","NC_059184.1",4682962,4682963,"*",5.66452683854664e-08,1.62489693263793e-06,27.4235175626338
"70865","NC_059184.1",4682986,4682987,"*",3.82882637126427e-09,1.81588472034493e-07,29.5589093637956
"72896","NC_059184.1",5616072,5616073,"*",2.1738637111111e-05,0.000256891469117015,18.6666666666667
"72897","NC_059184.1",5616199,5616200,"*",7.8140923476187e-09,3.3896007903024e-07,18.6371100164204
"74724","NC_059184.1",7008213,7008214,"*",0.000317467278739592,0.00234280313376914,15.2136752136752
"79816","NC_059184.1",9717193,9717194,"*",5.81431492616965e-05,0.000584223677751,17.2063492063492
"86522","NC_059184.1",13438021,13438022,"*",9.89617446919654e-07,1.85266803089116e-05,20.6017016367438
"86742","NC_059184.1",13568700,13568701,"*",8.13800683804864e-06,0.000112885382748525,17.1714664018537
"87590","NC_059185.1",109961,109962,"*",8.1679386271534e-06,0.000112885382748525,-17.6530753761875
"90917","NC_059185.1",1475938,1475939,"*",3.98457887001091e-08,1.30028871932374e-06,22.9559748427673
"91340","NC_059185.1",1711187,1711188,"*",1.83012695269549e-05,0.000221420461589723,21.7317080475606
"94728","NC_059185.1",3451955,3451956,"*",1.1140159303468e-07,3.02485088873554e-06,-26.53296654539
"95042","NC_059185.1",3705975,3705976,"*",2.44953159354154e-07,5.73174851564029e-06,16.9736265113074
