"","seqid","source","type","start","end","score","strand","phase","attributes"
"8363","NC_059182.1","Gnomon","gene",1309041,1310932,".","-",".","ID=gene-LOC116920147;Dbxref=GeneID:116920147;Name=LOC116920147;gbkey=Gene;gene=LOC116920147;gene_biotype=protein_coding"
"9628","NC_059182.1","Gnomon","gene",1459364,1462521,".","-",".","ID=gene-LOC116918728;Dbxref=GeneID:116918728;Name=LOC116918728;gbkey=Gene;gene=LOC116918728;gene_biotype=protein_coding"
"30539","NC_059182.1","Gnomon","gene",4352150,4357863,".","-",".","ID=gene-LOC123476823;Dbxref=GeneID:123476823;Name=LOC123476823;gbkey=Gene;gene=LOC123476823;gene_biotype=lncRNA"
"39486","NC_059182.1","Gnomon","gene",6078315,6079254,".","+",".","ID=gene-LOC116925371;Dbxref=GeneID:116925371;Name=LOC116925371;gbkey=Gene;gene=LOC116925371;gene_biotype=protein_coding"
"60413","NC_059182.1","Gnomon","gene",17579222,17581097,".","-",".","ID=gene-LOC116928767;Dbxref=GeneID:116928767;Name=LOC116928767;gbkey=Gene;gene=LOC116928767;gene_biotype=protein_coding"
"87889","NC_059184.1","Gnomon","gene",1575417,1580867,".","+",".","ID=gene-LOC116918597;Dbxref=GeneID:116918597;Name=LOC116918597;gbkey=Gene;gene=LOC116918597;gene_biotype=protein_coding"
"87935","NC_059184.1","Gnomon","gene",1580962,1599301,".","+",".","ID=gene-LOC116918596;Dbxref=GeneID:116918596;Name=LOC116918596;gbkey=Gene;gene=LOC116918596;gene_biotype=protein_coding"
"87935.1","NC_059184.1","Gnomon","gene",1580962,1599301,".","+",".","ID=gene-LOC116918596;Dbxref=GeneID:116918596;Name=LOC116918596;gbkey=Gene;gene=LOC116918596;gene_biotype=protein_coding"
"88228","NC_059184.1","Gnomon","gene",5816257,5819352,".","+",".","ID=gene-LOC116919565;Dbxref=GeneID:116919565;Name=LOC116919565;gbkey=Gene;gene=LOC116919565;gene_biotype=protein_coding"
"104607","NC_059184.1","Gnomon","gene",12773038,12776064,".","+",".","ID=gene-LOC116918225;Dbxref=GeneID:116918225;Name=LOC116918225;gbkey=Gene;gene=LOC116918225;gene_biotype=protein_coding"
"104607.1","NC_059184.1","Gnomon","gene",12773038,12776064,".","+",".","ID=gene-LOC116918225;Dbxref=GeneID:116918225;Name=LOC116918225;gbkey=Gene;gene=LOC116918225;gene_biotype=protein_coding"
"109608","NC_059184.1","Gnomon","gene",13567953,13570037,".","+",".","ID=gene-LOC116918247;Dbxref=GeneID:116918247;Name=LOC116918247;gbkey=Gene;gene=LOC116918247;gene_biotype=protein_coding"
"118319","NC_059185.1","Gnomon","gene",744743,746916,".","-",".","ID=gene-LOC116921475;Dbxref=GeneID:116921475;Name=LOC116921475;gbkey=Gene;gene=LOC116921475;gene_biotype=protein_coding"
"125816","NC_059185.1","Gnomon","gene",1529860,1531894,".","-",".","ID=gene-LOC116921272;Dbxref=GeneID:116921272;Name=LOC116921272;gbkey=Gene;gene=LOC116921272;gene_biotype=protein_coding"
"147491","NC_059185.1","Gnomon","gene",4493735,4508617,".","-",".","ID=gene-LOC116920680;Dbxref=GeneID:116920680;Name=LOC116920680;gbkey=Gene;gene=LOC116920680;gene_biotype=protein_coding"
"158162","NC_059185.1","Gnomon","gene",9497073,9500422,".","+",".","ID=gene-LOC116920824;Dbxref=GeneID:116920824;Name=LOC116920824;gbkey=Gene;gene=LOC116920824;gene_biotype=protein_coding"
"164416","NC_059185.1","Gnomon","gene",11383186,11396234,".","-",".","ID=gene-LOC116920030;Dbxref=GeneID:116920030;Name=LOC116920030;end_range=11396234,.;gbkey=Gene;gene=LOC116920030;gene_biotype=protein_coding;partial=true"
"218398","NC_059187.1","Gnomon","gene",2734670,2748520,".","+",".","ID=gene-LOC116925869;Dbxref=GeneID:116925869;Name=LOC116925869;gbkey=Gene;gene=LOC116925869;gene_biotype=protein_coding"
"226121","NC_059187.1","Gnomon","gene",3754943,3757511,".","-",".","ID=gene-LOC116915676;Dbxref=GeneID:116915676;Name=LOC116915676;gbkey=Gene;gene=LOC116915676;gene_biotype=protein_coding"
"233160","NC_059188.1","Gnomon","gene",12099079,12112887,".","+",".","ID=gene-LOC116926490;Dbxref=GeneID:116926490;Name=LOC116926490;gbkey=Gene;gene=LOC116926490;gene_biotype=protein_coding"
"233946","NC_059188.1","Gnomon","gene",12215744,12220026,".","+",".","ID=gene-LOC116926494;Dbxref=GeneID:116926494;Name=LOC116926494;gbkey=Gene;gene=LOC116926494;gene_biotype=protein_coding"
"238247","NC_059189.1","Gnomon","gene",830867,857102,".","-",".","ID=gene-LOC116929579;Dbxref=GeneID:116929579;Name=LOC116929579;gbkey=Gene;gene=LOC116929579;gene_biotype=protein_coding"
"238958","NC_059189.1","Gnomon","gene",995527,997341,".","+",".","ID=gene-LOC123475606;Dbxref=GeneID:123475606;Name=LOC123475606;gbkey=Gene;gene=LOC123475606;gene_biotype=protein_coding"
"241605","NC_059189.1","Gnomon","gene",1510814,1514481,".","+",".","ID=gene-LOC116929290;Dbxref=GeneID:116929290;Name=LOC116929290;gbkey=Gene;gene=LOC116929290;gene_biotype=protein_coding"
"255226","NC_059189.1","Gnomon","gene",3793607,3796605,".","+",".","ID=gene-LOC116928940;Dbxref=GeneID:116928940;Name=LOC116928940;gbkey=Gene;gene=LOC116928940;gene_biotype=protein_coding"
