"symbol","seqid"
"LOC116922221","NC_059182.1"
"LOC116917230","NC_059182.1"
"LOC116915706","NC_059182.1"
"LOC116930084","NC_059182.1"
"LOC116924005","NC_059182.1"
"LOC116924005","NC_059182.1"
"LOC116924005","NC_059182.1"
"LOC116930116","NC_059182.1"
"LOC116916800","NC_059182.1"
"LOC116935139","NC_059182.1"
"LOC116935139","NC_059182.1"
"LOC116935139","NC_059182.1"
"LOC116935139","NC_059182.1"
"LOC116935139","NC_059182.1"
"LOC116935139","NC_059182.1"
"LOC116936636","NC_059182.1"
"LOC116928759","NC_059182.1"
"LOC116928767","NC_059182.1"
"LOC116916995","NC_059183.1"
"LOC116916571","NC_059183.1"
"LOC116919078","NC_059184.1"
"LOC116919078","NC_059184.1"
"LOC116919078","NC_059184.1"
"LOC116919134","NC_059184.1"
"LOC116918596","NC_059184.1"
"LOC116918842","NC_059184.1"
"LOC116918443","NC_059184.1"
"LOC116918243","NC_059184.1"
"LOC116921837","NC_059185.1"
"LOC116935234","NC_059185.1"
"LOC116921363","NC_059185.1"
"LOC116921135","NC_059185.1"
"LOC116920787","NC_059185.1"
"LOC116933875","NC_059185.1"
"LOC116920324","NC_059185.1"
"LOC116933875","NC_059185.1"
"LOC116920324","NC_059185.1"
"LOC123466239","NC_059186.1"
"LOC116922458","NC_059186.1"
"LOC116925869","NC_059187.1"
"LOC116926490","NC_059188.1"
"LOC116926490","NC_059188.1"
"LOC116926490","NC_059188.1"
"LOC116926485","NC_059188.1"
"LOC116929579","NC_059189.1"
"LOC116929591","NC_059189.1"
"LOC116929297","NC_059189.1"
"LOC116929290","NC_059189.1"
"LOC116929400","NC_059189.1"
"LOC116928745","NC_059189.1"
"LOC116928940","NC_059189.1"
"LOC116928941","NC_059189.1"
"LOC116929071","NC_059189.1"
"LOC116929121","NC_059189.1"
"LOC116929494","NC_059189.1"
"LOC116929537","NC_059189.1"
"LOC116924903","NC_059182.1"
"LOC116924903","NC_059182.1"
"LOC123472673","NC_059186.1"
"LOC116926268","NC_059188.1"
"LOC116926280","NC_059188.1"
"LOC116928903","NC_059189.1"
"LOC116929689","NC_059189.1"
"LOC116924333","NC_059182.1"
"LOC116924333","NC_059182.1"
"LOC116924333","NC_059182.1"
"LOC116924333","NC_059182.1"
"LOC116919839","NC_059184.1"
"LOC116919839","NC_059184.1"
"LOC116920132","NC_059185.1"
"LOC116922836","NC_059186.1"
"LOC116925877","NC_059187.1"
"LOC116925877","NC_059187.1"
"LOC116925877","NC_059187.1"
"LOC116925639","NC_059187.1"
"LOC116925639","NC_059187.1"
"LOC116925639","NC_059187.1"
"LOC116931544","NC_059191.1"
"LOC116929399","NC_059189.1"
"LOC116936591","NC_059182.1"
"LOC116919850","NC_059184.1"
"LOC116919149","NC_059184.1"
"LOC116921067","NC_059185.1"
"LOC116936131","NC_059182.1"
"LOC116917812","NC_059183.1"
"LOC116920335","NC_059182.1"
"LOC116920335","NC_059182.1"
"LOC116926492","NC_059188.1"
"LOC116926499","NC_059188.1"
"LOC116930270","NC_059182.1"
"LOC116925564","NC_059182.1"
"LOC116918441","NC_059184.1"
"LOC116921064","NC_059185.1"
"LOC116934655","NC_059186.1"
