chr	start	end	strand	coverage1	numCs1	numTs1	coverage2	numCs2	numTs2	coverage3	numCs3	numTs3	coverage4	numCs4	numTs4	coverage5	numCs5	numTs5	coverage6	numCs6	numTs6	coverage7	numCs7	numTs7	coverage8	numCs8	numTs8	coverage9	numCs9	numTs9	coverage10	numCs10	numTs10	coverage11	numCs11	numTs11	coverage12	numCs12	numTs12	coverage13	numCs13	numTs13	coverage14	numCs14	numTs14	coverage15	numCs15	numTs15	coverage16	numCs16	numTs16	coverage17	numCs17	numTs17	coverage18	numCs18	numTs18	coverage19	numCs19	numTs19
NC_059182.1	105713	105714	*	12	10	2	23	21	2	14	7	7	19	19	0	10	7	3	15	15	0	15	14	1	13	4	9	11	4	7	14	14	0	12	8	4	21	19	2	12	4	8	20	0	20	13	6	7	18	11	7	14	0	14	20	18	2	21	20	1
NC_059182.1	115930	115931	*	20	20	0	23	12	11	12	11	1	13	8	5	20	20	0	15	13	2	18	17	1	11	11	0	13	6	7	14	14	0	22	22	0	19	11	8	21	20	1	19	19	0	17	16	1	23	22	1	17	15	2	14	13	1	30	28	2
NC_059182.1	115946	115947	*	20	17	3	22	10	12	12	10	2	12	6	6	20	19	1	15	15	0	16	16	0	11	11	0	15	8	7	14	14	0	21	20	1	21	10	11	18	16	2	18	17	1	15	14	1	24	24	0	20	19	1	14	13	1	33	33	0
NC_059182.1	115999	116000	*	21	8	13	26	0	26	14	7	7	14	0	14	19	0	19	17	0	17	15	0	15	14	6	8	14	7	7	16	0	16	21	0	21	16	0	16	16	7	9	16	8	8	15	0	15	24	20	4	21	8	13	14	0	14	28	0	28
NC_059182.1	126392	126393	*	13	13	0	18	18	0	12	7	5	13	12	1	10	5	5	12	9	3	12	4	8	16	14	2	12	11	1	21	20	1	10	4	6	16	14	2	14	14	0	14	5	9	15	15	0	15	14	1	11	11	0	12	10	2	20	18	2
NC_059182.1	398931	398932	*	14	12	2	14	8	6	12	6	6	19	14	5	12	9	3	18	14	4	12	3	9	16	12	4	14	10	4	13	11	2	10	2	8	21	14	7	13	10	3	14	9	5	19	12	7	13	10	3	12	10	2	18	12	6	18	9	9
NC_059182.1	659485	659486	*	16	15	1	14	13	1	21	19	2	16	16	0	17	17	0	22	20	2	16	16	0	18	18	0	20	20	0	23	22	1	22	21	1	21	20	1	16	14	2	18	18	0	31	28	3	29	28	1	22	21	1	23	21	2	18	17	1
NC_059182.1	659516	659517	*	16	15	1	16	15	1	23	23	0	22	22	0	19	19	0	24	23	1	19	18	1	21	21	0	21	19	2	26	25	1	24	22	2	25	24	1	17	16	1	19	19	0	28	26	2	31	31	0	20	20	0	25	23	2	16	15	1
NC_059182.1	659576	659577	*	15	15	0	19	16	3	16	16	0	18	18	0	22	22	0	26	23	3	14	13	1	18	17	1	21	17	4	23	22	1	25	21	4	24	22	2	18	18	0	18	16	2	29	27	2	26	25	1	18	18	0	24	20	4	15	15	0
NC_059182.1	659597	659598	*	16	14	2	19	14	5	16	13	3	19	17	2	24	21	3	26	22	4	16	14	2	18	15	3	22	17	5	20	18	2	25	20	5	24	21	3	20	17	3	15	13	2	27	25	2	22	19	3	19	16	3	27	21	6	16	16	0
NC_059182.1	929078	929079	*	17	10	7	16	4	12	21	12	9	15	9	6	21	8	13	14	7	7	11	5	6	11	6	5	16	9	7	13	8	5	25	12	13	30	16	14	17	8	9	24	14	10	21	9	12	23	12	11	20	15	5	14	8	6	28	14	14
NC_059182.1	929191	929192	*	20	17	3	13	12	1	19	17	2	16	15	1	10	10	0	18	18	0	12	12	0	14	13	1	15	13	2	12	12	0	20	20	0	17	16	1	16	15	1	21	20	1	25	24	1	19	19	0	24	21	3	13	12	1	19	19	0
NC_059182.1	929205	929206	*	17	17	0	15	15	0	18	18	0	15	15	0	12	11	1	17	17	0	13	13	0	14	14	0	14	14	0	12	12	0	20	19	1	20	20	0	17	16	1	21	20	1	21	21	0	19	18	1	29	25	4	12	10	2	19	19	0
NC_059182.1	930124	930125	*	12	10	2	24	12	12	15	15	0	10	9	1	15	14	1	17	17	0	12	12	0	11	10	1	13	12	1	17	16	1	25	23	2	24	22	2	17	15	2	15	14	1	31	29	2	22	20	2	15	15	0	12	12	0	30	28	2
