"","recovery_0_1","recovery_0_2","recovery_0_4","recovery_1_2","recovery_2_1","recovery_2_5_9","recovery_2_5_11","recovery_3_5_1","recovery_3_5_2","recovery_3_5_15","recovery_3_6","pesticide_6_2","pesticide_6_3","pesticide_7_3","pesticide_7_5","pesticide_7_5_4","pesticide_8_5_3","pesticide_9_5_1","pesticide_9_5_3","pesticide_9_6","pesticide_9_20","eutrophic_12_3","eutrophic_12_4","eutrophic_12_5_1","eutrophic_13_1","eutrophic_13_2","eutrophic_13_3","eutrophic_13_5_1","eutrophic_14_5_1","eutrophic_15_5_1"
"NC_059182.1.115930.115931",100,52.1739130434783,91.6666666666667,61.5384615384615,100,86.6666666666667,94.4444444444444,100,46.1538461538462,100,100,57.8947368421053,95.2380952380952,100,94.1176470588235,95.6521739130435,88.2352941176471,92.8571428571429,93.3333333333333,93.3333333333333,93.1034482758621,100,100,100,96,100,94.7368421052632,100,100,100
"NC_059182.1.126392.126393",100,100,58.3333333333333,92.3076923076923,50,75,33.3333333333333,87.5,91.6666666666667,95.2380952380952,40,87.5,100,35.7142857142857,100,93.3333333333333,100,83.3333333333333,90,83.3333333333333,85.7142857142857,83.3333333333333,100,92.3076923076923,46.6666666666667,100,100,100,53.3333333333333,60
"NC_059182.1.398931.398932",85.7142857142857,57.1428571428571,50,73.6842105263158,75,77.7777777777778,25,75,71.4285714285714,84.6153846153846,20,66.6666666666667,76.9230769230769,64.2857142857143,63.1578947368421,76.9230769230769,83.3333333333333,66.6666666666667,50,91.6666666666667,91.6666666666667,80.9523809523809,53.3333333333333,77.2727272727273,15,92.8571428571429,66.6666666666667,75,50,54.5454545454545
"NC_059182.1.659485.659486",93.75,92.8571428571429,90.4761904761905,100,100,90.9090909090909,100,100,100,95.6521739130435,95.4545454545455,95.2380952380952,87.5,100,90.3225806451613,96.551724137931,95.4545454545455,91.304347826087,94.4444444444444,100,92.8571428571429,80.9523809523809,100,96,95.2380952380952,92.5925925925926,84.6153846153846,91.6666666666667,100,100
"NC_059182.1.659516.659517",93.75,93.75,100,100,100,95.8333333333333,94.7368421052632,100,90.4761904761905,96.1538461538462,91.6666666666667,96,94.1176470588235,100,92.8571428571429,100,100,92,93.75,100,96,95.2380952380952,100,100,100,100,100,100,88.8888888888889,100
"NC_059182.1.659576.659577",100,84.2105263157895,100,100,100,88.4615384615385,92.8571428571429,94.4444444444444,80.9523809523809,95.6521739130435,84,91.6666666666667,100,88.8888888888889,93.1034482758621,96.1538461538462,100,83.3333333333333,100,94.1176470588235,88.8888888888889,95.2380952380952,92.8571428571429,96.2962962962963,78.9473684210526,95.6521739130435,95,100,85.7142857142857,84.6153846153846
"NC_059182.1.659597.659598",87.5,73.6842105263158,81.25,89.4736842105263,87.5,84.6153846153846,87.5,83.3333333333333,77.2727272727273,90,80,87.5,85,86.6666666666667,92.5925925925926,86.3636363636364,84.2105263157895,77.7777777777778,100,100,91.304347826087,82.6086956521739,78.5714285714286,96.2962962962963,80.9523809523809,72.7272727272727,89.4736842105263,82.6086956521739,77.7777777777778,80
"NC_059182.1.929191.929192",85,92.3076923076923,89.4736842105263,93.75,100,100,100,92.8571428571429,86.6666666666667,100,100,94.1176470588235,93.75,95.2380952380952,96,100,87.5,92.3076923076923,100,94.4444444444444,94.1176470588235,100,95.4545454545455,96.4285714285714,88.8888888888889,95.8333333333333,94.4444444444444,100,96.1538461538462,100
"NC_059182.1.929205.929206",100,100,100,100,91.6666666666667,100,100,100,100,100,95,100,94.1176470588235,95.2380952380952,100,94.7368421052632,86.2068965517241,83.3333333333333,100,100,100,100,95,96.6666666666667,94.1176470588235,100,100,100,96,100
"NC_059182.1.930124.930125",83.3333333333333,50,100,90,93.3333333333333,100,100,90.9090909090909,92.3076923076923,94.1176470588235,92,91.6666666666667,88.2352941176471,93.3333333333333,93.5483870967742,90.9090909090909,100,100,93.3333333333333,90,100,92.8571428571429,94.4444444444444,100,100,88,95.6521739130435,100,96.6666666666667,94.4444444444444
"NC_059182.1.930131.930132",85.7142857142857,47.8260869565217,100,90,100,100,92.3076923076923,100,85.7142857142857,100,92,91.6666666666667,88.8888888888889,100,93.9393939393939,95.4545454545455,100,92.3076923076923,93.3333333333333,100,96,85.7142857142857,94.4444444444444,88.8888888888889,100,100,91.6666666666667,100,96.6666666666667,94.7368421052632
"NC_059182.1.933990.933991",81.4814814814815,100,100,100,84.6153846153846,100,100,82.3529411764706,93.3333333333333,88,95.2380952380952,95.6521739130435,100,100,96.6666666666667,100,90.4761904761905,94.1176470588235,100,90.9090909090909,100,96.2962962962963,93.5483870967742,96.1538461538462,100,100,89.6551724137931,100,100,100
"NC_059182.1.934032.934033",93.3333333333333,97.1428571428571,100,100,100,91.6666666666667,100,100,81.25,84,100,96.4285714285714,92.3076923076923,95.4545454545455,100,100,95.2380952380952,85.7142857142857,90,96.1538461538462,100,100,100,97.2972972972973,100,100,96.6666666666667,96,96.969696969697,100
"NC_059182.1.967614.967615",100,91.6666666666667,100,83.3333333333333,100,100,100,100,93.3333333333333,100,100,93.75,77.7777777777778,93.75,85.7142857142857,85.7142857142857,100,100,100,100,95,94.7368421052632,100,100,100,87.5,100,91.6666666666667,88.2352941176471,100
"NC_059182.1.1002082.1002083",95.2380952380952,100,100,84.2105263157895,95.6521739130435,93.75,94.4444444444444,100,94.1176470588235,100,95.2380952380952,92.3076923076923,96.1538461538462,100,100,100,95,96.1538461538462,94.1176470588235,90.9090909090909,90.4761904761905,88,96.551724137931,82.3529411764706,86.6666666666667,95.6521739130435,100,100,85.7142857142857,93.75
"NC_059182.1.1078100.1078101",87.5,85,94.1176470588235,100,96,100,100,93.3333333333333,100,100,100,92.5925925925926,95,100,87.5,94.7368421052632,100,90,92.8571428571429,100,100,100,95.6521739130435,96,87.5,100,100,100,95.6521739130435,100
"NC_059182.1.1078166.1078167",94.1176470588235,87.5,90.4761904761905,84.2105263157895,96.1538461538462,93.75,39.1304347826087,95.2380952380952,88.2352941176471,93.5483870967742,94.1176470588235,89.2857142857143,88.2352941176471,85.1851851851852,66.6666666666667,68.75,96,100,93.3333333333333,100,80.9523809523809,97.2222222222222,85.1851851851852,85.7142857142857,91.304347826087,89.4736842105263,88.4615384615385,83.3333333333333,38.0952380952381,86.3636363636364
"NC_059182.1.1078173.1078174",94.4444444444444,83.3333333333333,85.7142857142857,68.4210526315789,88.4615384615385,94.1176470588235,41.6666666666667,80,82.3529411764706,90.9090909090909,88.8888888888889,85.7142857142857,88.2352941176471,81.4814814814815,76.6666666666667,47.0588235294118,96,94.1176470588235,86.6666666666667,95,73.9130434782609,94.4444444444444,89.2857142857143,85.7142857142857,95.6521739130435,88.8888888888889,88,84.6153846153846,45.4545454545455,95.4545454545455
"NC_059182.1.1086647.1086648",30.4347826086957,18.4210526315789,0,0,0,22.2222222222222,0,0,0,3.44827586206897,10.7142857142857,0,0,51.7241379310345,0,0,0,0,0,0,0,7.54716981132075,0,39.2857142857143,0,3.33333333333333,0,0,0,0
"NC_059182.1.1129498.1129499",100,91.304347826087,95.4545454545455,92.3076923076923,100,75,92.8571428571429,94.1176470588235,100,94.7368421052632,100,95.2380952380952,90,100,100,88.8888888888889,100,90.4761904761905,92.3076923076923,100,100,88.4615384615385,93.3333333333333,93.3333333333333,100,100,93.1034482758621,100,78.9473684210526,100
"NC_059182.1.1129574.1129575",20,3.57142857142857,23.5294117647059,0,16.6666666666667,0,16.6666666666667,7.69230769230769,0,18.1818181818182,65,11.7647058823529,0,3.84615384615385,26.3157894736842,11.7647058823529,15,0,0,6.25,0,5,0,8.69565217391304,10,9.09090909090909,17.2413793103448,0,30,0
"NC_059182.1.1310314.1310315",100,73.3333333333333,92.8571428571429,78.5714285714286,90.9090909090909,91.6666666666667,100,90,94.1176470588235,100,88.2352941176471,100,100,85.7142857142857,95.2380952380952,93.75,90.4761904761905,100,85,81.8181818181818,81.8181818181818,92.8571428571429,85.7142857142857,93.75,90.9090909090909,86.6666666666667,88.8888888888889,93.75,93.75,88.8888888888889
"NC_059182.1.1310340.1310341",42.8571428571429,57.1428571428571,100,100,55.5555555555556,58.3333333333333,100,100,93.75,33.3333333333333,58.8235294117647,33.3333333333333,100,31.25,95,100,55,100,44.4444444444444,90.4761904761905,90.4761904761905,92.8571428571429,50,100,47.6190476190476,100,50,100,0,27.7777777777778
"NC_059182.1.1310353.1310354",100,92.8571428571429,100,92.8571428571429,100,92.8571428571429,100,100,100,100,94.1176470588235,94.1176470588235,100,93.75,100,100,100,94.4444444444444,100,90.9090909090909,100,93.3333333333333,100,100,94.7368421052632,93.3333333333333,94.4444444444444,100,100,100
"NC_059182.1.1531334.1531335",77.2727272727273,90.4761904761905,86.3636363636364,90,84.2105263157895,85.7142857142857,76.4705882352941,80,71.4285714285714,94.7368421052632,90,91.6666666666667,94.4444444444444,100,90.9090909090909,70,95.6521739130435,72.7272727272727,85.7142857142857,86.6666666666667,88.8888888888889,94.1176470588235,95.6521739130435,93.75,94.4444444444444,77.7777777777778,83.3333333333333,90,75,65.2173913043478
"NC_059182.1.1552404.1552405",92,83.3333333333333,100,70,83.3333333333333,90,76.1904761904762,87.5,89.4736842105263,88.2352941176471,93.75,79.1666666666667,88.2352941176471,86.6666666666667,96.4285714285714,83.3333333333333,88,91.304347826087,90,92.8571428571429,88.8888888888889,93.75,91.304347826087,64.2857142857143,92.8571428571429,75,84.2105263157895,87.0967741935484,77.2727272727273,78.9473684210526
"NC_059182.1.1681999.1682000",94.1176470588235,92.3076923076923,100,92.3076923076923,87.5,100,88.2352941176471,91.6666666666667,81.8181818181818,93.75,100,83.3333333333333,88.2352941176471,86.9565217391304,88,100,91.6666666666667,86.6666666666667,88,92,100,94.1176470588235,92.8571428571429,83.3333333333333,93.3333333333333,81.8181818181818,94.1176470588235,92.3076923076923,95.6521739130435,92.3076923076923
"NC_059182.1.1682017.1682018",100,95.8333333333333,100,100,100,100,94.1176470588235,92.3076923076923,85.7142857142857,88.8888888888889,100,96.2962962962963,94.1176470588235,80.9523809523809,92.5925925925926,100,83.3333333333333,100,96.4285714285714,91.6666666666667,100,85,92.8571428571429,89.4736842105263,93.3333333333333,81.8181818181818,87.5,85.1851851851852,100,100
