"","seqid","source","type","start","end","score","strand","phase","attributes"
"1796","NC_059182.1","Gnomon","gene",355580,357597,".","-",".","ID=gene-LOC116920274;Dbxref=GeneID:116920274;Name=LOC116920274;gbkey=Gene;gene=LOC116920274;gene_biotype=protein_coding"
"1796.1","NC_059182.1","Gnomon","gene",355580,357597,".","-",".","ID=gene-LOC116920274;Dbxref=GeneID:116920274;Name=LOC116920274;gbkey=Gene;gene=LOC116920274;gene_biotype=protein_coding"
"11870","NC_059182.1","Gnomon","gene",1767259,1774876,".","+",".","ID=gene-LOC116936510;Dbxref=GeneID:116936510;Name=LOC116936510;gbkey=Gene;gene=LOC116936510;gene_biotype=protein_coding"
"11924","NC_059182.1","Gnomon","gene",1767602,1769360,".","-",".","ID=gene-LOC116936527;Dbxref=GeneID:116936527;Name=LOC116936527;gbkey=Gene;gene=LOC116936527;gene_biotype=protein_coding"
"13700","NC_059182.1","Gnomon","gene",1935718,1940868,".","+",".","ID=gene-LOC116936564;Dbxref=GeneID:116936564;Name=LOC116936564;gbkey=Gene;gene=LOC116936564;gene_biotype=protein_coding"
"17832","NC_059182.1","Gnomon","gene",2586437,2588262,".","-",".","ID=gene-LOC116925479;Dbxref=GeneID:116925479;Name=LOC116925479;gbkey=Gene;gene=LOC116925479;gene_biotype=protein_coding"
"30230","NC_059182.1","Gnomon","gene",4284174,4285760,".","+",".","ID=gene-LOC116930270;Dbxref=GeneID:116930270;Name=LOC116930270;gbkey=Gene;gene=LOC116930270;gene_biotype=protein_coding"
"30539","NC_059182.1","Gnomon","gene",4352150,4357863,".","-",".","ID=gene-LOC123476823;Dbxref=GeneID:123476823;Name=LOC123476823;gbkey=Gene;gene=LOC123476823;gene_biotype=lncRNA"
"43184","NC_059182.1","Gnomon","gene",6695812,6698731,".","+",".","ID=gene-LOC116930116;Dbxref=GeneID:116930116;Name=LOC116930116;gbkey=Gene;gene=LOC116930116;gene_biotype=protein_coding"
"43184.1","NC_059182.1","Gnomon","gene",6695812,6698731,".","+",".","ID=gene-LOC116930116;Dbxref=GeneID:116930116;Name=LOC116930116;gbkey=Gene;gene=LOC116930116;gene_biotype=protein_coding"
"46552","NC_059182.1","Gnomon","gene",15715022,15717114,".","+",".","ID=gene-LOC116917939;Dbxref=GeneID:116917939;Name=LOC116917939;gbkey=Gene;gene=LOC116917939;gene_biotype=protein_coding"
"51600","NC_059182.1","Gnomon","gene",16584101,16585267,".","-",".","ID=gene-LOC116936636;Dbxref=GeneID:116936636;Name=LOC116936636;gbkey=Gene;gene=LOC116936636;gene_biotype=protein_coding"
"62588","NC_059183.1","Gnomon","gene",16418859,16421307,".","+",".","ID=gene-LOC116915926;Dbxref=GeneID:116915926;Name=LOC116915926;gbkey=Gene;gene=LOC116915926;gene_biotype=protein_coding"
"83401","NC_059184.1","Gnomon","gene",790215,793343,".","-",".","ID=gene-LOC116919850;Dbxref=GeneID:116919850;Name=LOC116919850;gbkey=Gene;gene=LOC116919850;gene_biotype=protein_coding"
"83534","NC_059184.1","Gnomon","gene",805159,806843,".","+",".","ID=gene-LOC116919073;Dbxref=GeneID:116919073;Name=LOC116919073;gbkey=Gene;gene=LOC116919073;gene_biotype=protein_coding"
"83534.1","NC_059184.1","Gnomon","gene",805159,806843,".","+",".","ID=gene-LOC116919073;Dbxref=GeneID:116919073;Name=LOC116919073;gbkey=Gene;gene=LOC116919073;gene_biotype=protein_coding"
"83534.2","NC_059184.1","Gnomon","gene",805159,806843,".","+",".","ID=gene-LOC116919073;Dbxref=GeneID:116919073;Name=LOC116919073;gbkey=Gene;gene=LOC116919073;gene_biotype=protein_coding"
"86144","NC_059184.1","Gnomon","gene",1314421,1315692,".","+",".","ID=gene-LOC116919134;Dbxref=GeneID:116919134;Name=LOC116919134;gbkey=Gene;gene=LOC116919134;gene_biotype=protein_coding"
"87595","NC_059184.1","Gnomon","gene",1518555,1521509,".","+",".","ID=gene-LOC116919166;Dbxref=GeneID:116919166;Name=LOC116919166;gbkey=Gene;gene=LOC116919166;gene_biotype=protein_coding"
"91430","NC_059184.1","Gnomon","gene",7007433,7011962,".","+",".","ID=gene-LOC116918842;Dbxref=GeneID:116918842;Name=LOC116918842;gbkey=Gene;gene=LOC116918842;gene_biotype=protein_coding"
"97725","NC_059184.1","Gnomon","gene",9713173,9720193,".","+",".","ID=gene-LOC116935383;Dbxref=GeneID:116935383;Name=LOC116935383;gbkey=Gene;gene=LOC116935383;gene_biotype=protein_coding"
"108529","NC_059184.1","Gnomon","gene",13436944,13438405,".","-",".","ID=gene-LOC116918443;Dbxref=GeneID:116918443;Name=LOC116918443;gbkey=Gene;gene=LOC116918443;gene_biotype=protein_coding"
"109608","NC_059184.1","Gnomon","gene",13567953,13570037,".","+",".","ID=gene-LOC116918247;Dbxref=GeneID:116918247;Name=LOC116918247;gbkey=Gene;gene=LOC116918247;gene_biotype=protein_coding"
"125437","NC_059185.1","Gnomon","gene",1474622,1476890,".","-",".","ID=gene-LOC116921284;Dbxref=GeneID:116921284;Name=LOC116921284;gbkey=Gene;gene=LOC116921284;gene_biotype=protein_coding"
"127050","NC_059185.1","Gnomon","gene",1710987,1713731,".","+",".","ID=gene-LOC116921230;Dbxref=GeneID:116921230;Name=LOC116921230;gbkey=Gene;gene=LOC116921230;gene_biotype=protein_coding"
"143233","NC_059185.1","Gnomon","gene",3451285,3452341,".","+",".","ID=gene-LOC116921725;Dbxref=GeneID:116921725;Name=LOC116921725;gbkey=Gene;gene=LOC116921725;gene_biotype=protein_coding"
"144106","NC_059185.1","Gnomon","gene",3704576,3706268,".","-",".","ID=gene-LOC116920756;Dbxref=GeneID:116920756;Name=LOC116920756;gbkey=Gene;gene=LOC116920756;gene_biotype=protein_coding"
"164416","NC_059185.1","Gnomon","gene",11383186,11396234,".","-",".","ID=gene-LOC116920030;Dbxref=GeneID:116920030;Name=LOC116920030;end_range=11396234,.;gbkey=Gene;gene=LOC116920030;gene_biotype=protein_coding;partial=true"
"179742","NC_059185.1","Gnomon","gene",13086631,13113785,".","-",".","ID=gene-LOC116920404;Dbxref=GeneID:116920404;Name=LOC116920404;gbkey=Gene;gene=LOC116920404;gene_biotype=lncRNA"
"179797","NC_059185.1","Gnomon","gene",13090949,13115754,".","+",".","ID=gene-LOC116920358;Dbxref=GeneID:116920358;Name=LOC116920358;gbkey=Gene;gene=LOC116920358;gene_biotype=protein_coding"
"188636","NC_059186.1","Gnomon","gene",777915,781398,".","-",".","ID=gene-LOC116922505;Dbxref=GeneID:116922505;Name=LOC116922505;gbkey=Gene;gene=LOC116922505;gene_biotype=protein_coding"
"204205","NC_059186.1","Gnomon","gene",7204517,7206978,".","-",".","ID=gene-LOC116922268;Dbxref=GeneID:116922268;Name=LOC116922268;gbkey=Gene;gene=LOC116922268;gene_biotype=protein_coding"
"207682","NC_059186.1","Gnomon","gene",7864160,7866567,".","+",".","ID=gene-LOC116922902;Dbxref=GeneID:116922902;Name=LOC116922902;gbkey=Gene;gene=LOC116922902;gene_biotype=protein_coding"
"208853","NC_059186.1","Gnomon","gene",8110274,8129362,".","+",".","ID=gene-LOC116922816;Dbxref=GeneID:116922816;Name=LOC116922816;gbkey=Gene;gene=LOC116922816;gene_biotype=protein_coding"
"210652","NC_059186.1","Gnomon","gene",8310325,8312289,".","+",".","ID=gene-LOC116922962;Dbxref=GeneID:116922962;Name=LOC116922962;gbkey=Gene;gene=LOC116922962;gene_biotype=protein_coding"
"211184","NC_059186.1","Gnomon","gene",8388077,8390337,".","+",".","ID=gene-LOC116922875;Dbxref=GeneID:116922875;Name=LOC116922875;gbkey=Gene;gene=LOC116922875;gene_biotype=protein_coding"
"211184.1","NC_059186.1","Gnomon","gene",8388077,8390337,".","+",".","ID=gene-LOC116922875;Dbxref=GeneID:116922875;Name=LOC116922875;gbkey=Gene;gene=LOC116922875;gene_biotype=protein_coding"
"218227","NC_059187.1","Gnomon","gene",2710403,2712950,".","+",".","ID=gene-LOC116925877;Dbxref=GeneID:116925877;Name=LOC116925877;gbkey=Gene;gene=LOC116925877;gene_biotype=protein_coding"
"228770","NC_059188.1","Gnomon","gene",11105711,11107684,".","-",".","ID=gene-LOC116935055;Dbxref=GeneID:116935055;Name=LOC116935055;gbkey=Gene;gene=LOC116935055;gene_biotype=protein_coding"
"228770.1","NC_059188.1","Gnomon","gene",11105711,11107684,".","-",".","ID=gene-LOC116935055;Dbxref=GeneID:116935055;Name=LOC116935055;gbkey=Gene;gene=LOC116935055;gene_biotype=protein_coding"
"234533","NC_059188.1","Gnomon","gene",12297364,12300260,".","+",".","ID=gene-LOC116926505;Dbxref=GeneID:116926505;Name=LOC116926505;gbkey=Gene;gene=LOC116926505;gene_biotype=protein_coding"
"234533.1","NC_059188.1","Gnomon","gene",12297364,12300260,".","+",".","ID=gene-LOC116926505;Dbxref=GeneID:116926505;Name=LOC116926505;gbkey=Gene;gene=LOC116926505;gene_biotype=protein_coding"
"234533.2","NC_059188.1","Gnomon","gene",12297364,12300260,".","+",".","ID=gene-LOC116926505;Dbxref=GeneID:116926505;Name=LOC116926505;gbkey=Gene;gene=LOC116926505;gene_biotype=protein_coding"
"238247","NC_059189.1","Gnomon","gene",830867,857102,".","-",".","ID=gene-LOC116929579;Dbxref=GeneID:116929579;Name=LOC116929579;gbkey=Gene;gene=LOC116929579;gene_biotype=protein_coding"
"238397","NC_059189.1","Gnomon","gene",907153,908605,".","+",".","ID=gene-LOC116929591;Dbxref=GeneID:116929591;Name=LOC116929591;gbkey=Gene;gene=LOC116929591;gene_biotype=protein_coding"
"238958","NC_059189.1","Gnomon","gene",995527,997341,".","+",".","ID=gene-LOC123475606;Dbxref=GeneID:123475606;Name=LOC123475606;gbkey=Gene;gene=LOC123475606;gene_biotype=protein_coding"
"238958.1","NC_059189.1","Gnomon","gene",995527,997341,".","+",".","ID=gene-LOC123475606;Dbxref=GeneID:123475606;Name=LOC123475606;gbkey=Gene;gene=LOC123475606;gene_biotype=protein_coding"
"249539","NC_059189.1","Gnomon","gene",2961307,2964235,".","-",".","ID=gene-LOC116928794;Dbxref=GeneID:116928794;Name=LOC116928794;gbkey=Gene;gene=LOC116928794;gene_biotype=protein_coding"
"256856","NC_059189.1","Gnomon","gene",4097108,4099583,".","+",".","ID=gene-LOC116929017;Dbxref=GeneID:116929017;Name=LOC116929017;gbkey=Gene;gene=LOC116929017;gene_biotype=protein_coding"
"269253","NC_059189.1","Gnomon","gene",9102833,9104907,".","-",".","ID=gene-LOC116929709;Dbxref=GeneID:116929709;Name=LOC116929709;gbkey=Gene;gene=LOC116929709;gene_biotype=protein_coding"
