"","s1"
"(Intercept)",-693633.104768135
"NC_059182.1.2085939.2085940",1546.54520387588
"NC_059182.1.3002220.3002221",856.513729093399
"NC_059182.1.4693618.4693619",649.974104313095
"NC_059182.1.5848872.5848873",2911.78781735665
"NC_059182.1.5977847.5977848",-410.844057864814
"NC_059182.1.12799848.12799849",-2.7909783476395
"NC_059182.1.17929646.17929647",1201.36730528503
"NC_059183.1.15081287.15081288",302.950827770234
"NC_059184.1.815468.815469",164.395708468803
"NC_059184.1.3755652.3755653",-453.391168179841
"NC_059185.1.1744372.1744373",130.903396153273
"NC_059185.1.11067866.11067867",-933.619472194187
"NC_059185.1.11735853.11735854",175.130714611538
"NC_059186.1.8311139.8311140",47.527438405765
"NC_059186.1.8665135.8665136",1679.45353058107
"NC_059187.1.4181980.4181981",-561.305850791847
"NC_059187.1.4182038.4182039",-572.249018109449
"NC_059188.1.802185.802186",3578.34083065367
"NC_059188.1.10430801.10430802",-77.7001100348518
"NC_059188.1.13574393.13574394",91.8083878035403
"NC_059189.1.3605518.3605519",-239.211649286782
"NC_059189.1.3794054.3794055",347.705557694799
"NC_059190.1.2939553.2939554",665.182615707811
"NC_059191.1.8066164.8066165",-963.301561539131
"NC_059191.1.9631189.9631190",66.282474371306
"NW_025533169.1.98376.98377",-10.7455208350133
"NC_059185.1.1660107.1660108",-324.513464565652
"NC_059186.1.238485.238486",-83.83998982911
"NC_059189.1.1438335.1438336",-12.0148952538151
"NC_059187.1.9316759.9316760",274.087292523902
"NC_059189.1.7542419.7542420",-14.0831331146797
"NC_059184.1.2265396.2265397",859.264738503891
"NC_059183.1.3066883.3066884",266.838313166266
"NW_025533332.1.29672.29673",2614.11733804875
"NC_059184.1.3793739.3793740",1139.40466959278
"NC_059185.1.13091242.13091243",2650.07980030658
"NC_059183.1.16657359.16657360",256.661477253881
"NC_059191.1.4997260.4997261",224.700073594712
"NW_025533173.1.52697.52698",4815.1507992405
