"","s1"
"(Intercept)",3103396.75461174
"NC_059182.1.16584481.16584482",-2190.95417109168
"NC_059183.1.7053011.7053012",-16828.2275367482
"NC_059183.1.15081287.15081288",3570.03297537316
"NC_059184.1.1315280.1315281",-344.357423559029
"NC_059185.1.48627.48628",-3459.96272495866
"NC_059185.1.326337.326338",3573.62178326514
"NC_059185.1.379017.379018",249.60790747431
"NC_059185.1.936724.936725",-10813.912097242
"NC_059186.1.11254658.11254659",-4323.3261661243
"NC_059187.1.1260331.1260332",1220.92529699807
"NC_059187.1.2360520.2360521",-1425.02144077269
"NC_059187.1.2859115.2859116",8623.74383261278
"NC_059188.1.10561588.10561589",-7539.4266960993
"NC_059188.1.13182710.13182711",-2300.08034993119
"NC_059188.1.13574259.13574260",-1999.24919875259
"NC_059189.1.1672039.1672040",-1967.77413455337
"NC_059189.1.1675254.1675255",-987.980481770335
"NC_059189.1.2319242.2319243",-120.690965362044
"NC_059189.1.2729893.2729894",-2058.69724188839
"NC_059189.1.2802790.2802791",11637.2031804232
"NC_059189.1.4098964.4098965",516.219824872691
"NC_059190.1.52062.52063",-3701.67495394963
"NC_059190.1.96310.96311",-271.192789830757
"NC_059191.1.115277.115278",1383.16870241146
"NC_059191.1.1457176.1457177",8379.50200514983
"NC_059191.1.6629629.6629630",7706.8572177149
"NW_025533257.1.46799.46800",-6994.70630706667
"NW_025533362.1.27610.27611",445.273313076201
"NC_059190.1.2811199.2811200",399.09353587977
"NC_059189.1.7542397.7542398",-2191.17166504262
"NC_059189.1.7542419.7542420",-5767.96665498785
"NC_059184.1.12325476.12325477",-7501.87100229108
"NC_059184.1.4594317.4594318",7078.00671043642
"NC_059189.1.5855847.5855848",-4103.85521463936
"NC_059182.1.339939.339940",4151.72606345475
"NC_059186.1.2878492.2878493",10716.8466291905
"NC_059190.1.6025322.6025323",19967.4542775648
"NC_059182.1.8329114.8329115",13922.0267517801
"NC_059185.1.3503093.3503094",6953.99248345622
"NC_059191.1.9580162.9580163",445.023086678151
"NC_059191.1.9580184.9580185",457.925754581496
"NC_059183.1.3066883.3066884",10907.398385639
"NC_059184.1.3793739.3793740",1282.6808232226
"NC_059188.1.13017185.13017186",1858.99928758295
"NW_025533169.1.92152.92153",10876.0253871764
"NC_059183.1.12941401.12941402",-117.459614093539
"NW_025533136.1.142835.142836",-5330.18426997795
