Refseq,Count,Gene_name,Gene_symbol,Gene_description
XM_032928836.2,98,LOC116922472,DNMT3B,"PREDICTED: Daphnia magna DNA (cytosine-5)-methyltransferase 3B (LOC116922472), transcript variant X1, mRNA"
XM_032928837.2,94,LOC116922472,DNMT3B,"PREDICTED: Daphnia magna DNA (cytosine-5)-methyltransferase 3B (LOC116922472), transcript variant X2, mRNA"
XM_045173364.1,74,LOC116923817,DNMT3B,"PREDICTED: Daphnia magna DNA (cytosine-5)-methyltransferase 3B (LOC116923817), transcript variant X8, mRNA"
