"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"1370","NC_059182.1",1310340,1310341,"*",0.000102524832549389,0.000871038809943623,-19.8211382113821
"1635","NC_059182.1",1462286,1462287,"*",3.6333691015065e-11,1.60873274965226e-09,-18.716577540107
"5623","NC_059182.1",4354347,4354348,"*",1.51491818376974e-08,3.91901476717444e-07,-29.8320689878753
"6678","NC_059182.1",6078803,6078804,"*",3.66431399146115e-06,4.84865362799077e-05,23.0398767096898
"8066","NC_059182.1",7117271,7117272,"*",5.63958286054441e-09,1.60302276954864e-07,30.8745976302993
"8424","NC_059182.1",7442393,7442394,"*",0.000428439340817655,0.00283457417823677,17.0650813516896
"10964","NC_059182.1",11692776,11692777,"*",8.44153907755723e-15,6.47855438108447e-13,39.8279730740464
"17497","NC_059182.1",17580312,17580313,"*",3.60545673008892e-07,6.2887464434462e-06,-23.7826737670112
"25609","NC_059183.1",6929466,6929467,"*",0.000150289378320804,0.00119731431047257,19.7443609022556
"25610","NC_059183.1",6929486,6929487,"*",0.00170795916169404,0.00847495166056892,16.0888637328428
"28638","NC_059183.1",10283253,10283254,"*",1.82060876651736e-08,4.60630791214231e-07,21.0410557184751
"30146","NC_059183.1",12209542,12209543,"*",0.000189411967261966,0.00146341963832362,-17.3465096719933
"30542","NC_059183.1",12422476,12422477,"*",9.65421580637895e-10,3.17538720641096e-08,-23.2404153513213
"30544","NC_059183.1",12422495,12422496,"*",6.85735739823584e-15,5.44423063714485e-13,-29.1163438161713
"31451","NC_059183.1",13072265,13072266,"*",3.63436785971497e-06,4.836826487254e-05,23.1374807987711
"33313","NC_059183.1",14659826,14659827,"*",0.00139528485077883,0.00725165076834081,15.3932584269663
"41333","NC_059184.1",1576533,1576534,"*",6.49814957334374e-05,0.000593699784010614,21.7673814165042
"41361","NC_059184.1",1591664,1591665,"*",2.56606022165719e-08,6.28516551347145e-07,-22.2895622895623
"41362","NC_059184.1",1591677,1591678,"*",1.80017715738686e-07,3.48294016251703e-06,-22.6892739162678
"44330","NC_059184.1",3785256,3785257,"*",0.000282072827657669,0.00205518961913369,-18.406355960375
"45019","NC_059184.1",4323483,4323484,"*",5.84160259370008e-13,3.20228842904671e-11,-31.2122736418511
"47137","NC_059184.1",5817188,5817189,"*",0.00122771377623669,0.00650568767410058,15.6947391527036
"55807","NC_059184.1",12773659,12773660,"*",9.60841881572851e-06,0.000112868715274268,-15.5986657303371
"55812","NC_059184.1",12775822,12775823,"*",0.00190978656255419,0.00925697203449979,15.6379867631214
"56584","NC_059184.1",13568700,13568701,"*",3.84817775320281e-07,6.61192706433014e-06,21.5584415584416
"58354","NC_059185.1",746180,746181,"*",2.92803938372444e-07,5.39317644419082e-06,-25.3487253487253
"59516","NC_059185.1",1531579,1531580,"*",0.0017233587551781,0.00853297493690184,-15.3844169912052
