chr	start	end	strand	coverage1	numCs1	numTs1	coverage2	numCs2	numTs2	coverage3	numCs3	numTs3	coverage4	numCs4	numTs4	coverage5	numCs5	numTs5	coverage6	numCs6	numTs6	coverage7	numCs7	numTs7	coverage8	numCs8	numTs8	coverage9	numCs9	numTs9	coverage10	numCs10	numTs10	coverage11	numCs11	numTs11	coverage12	numCs12	numTs12	coverage13	numCs13	numTs13	coverage14	numCs14	numTs14	coverage15	numCs15	numTs15	coverage16	numCs16	numTs16	coverage17	numCs17	numTs17	coverage18	numCs18	numTs18	coverage19	numCs19	numTs19	coverage20	numCs20	numTs20	coverage21	numCs21	numTs21
NC_059182.1	61559	61560	*	17	16	1	18	16	2	22	21	1	11	9	2	21	17	4	18	15	3	19	17	2	11	11	0	13	12	1	22	21	1	11	11	0	24	18	6	15	12	3	12	11	1	19	17	2	20	16	4	13	13	0	13	10	3	17	13	4	17	13	4	13	9	4
NC_059182.1	61600	61601	*	12	12	0	16	16	0	18	17	1	10	10	0	17	17	0	16	16	0	18	16	2	11	11	0	12	10	2	19	19	0	11	10	1	17	17	0	13	12	1	11	10	1	16	16	0	15	14	1	10	10	0	13	12	1	20	20	0	17	17	0	10	9	1
NC_059182.1	61872	61873	*	14	3	11	14	5	9	22	0	22	18	3	15	20	1	19	15	0	15	15	0	15	18	3	15	14	9	5	19	7	12	19	0	19	27	0	27	18	11	7	19	0	19	13	7	6	14	7	7	19	6	13	19	7	12	10	0	10	12	4	8	17	0	17
NC_059182.1	73553	73554	*	13	12	1	12	11	1	16	15	1	24	23	1	17	15	2	18	16	2	21	20	1	16	15	1	25	24	1	33	32	1	14	14	0	16	16	0	17	16	1	18	17	1	21	21	0	20	20	0	24	22	2	11	9	2	16	16	0	21	21	0	20	19	1
NC_059182.1	73675	73676	*	19	19	0	10	10	0	14	14	0	17	16	1	16	16	0	22	21	1	22	21	1	16	15	1	21	19	2	24	24	0	17	17	0	14	13	1	17	17	0	13	13	0	12	11	1	26	24	2	21	21	0	15	15	0	26	26	0	13	13	0	16	16	0
NC_059182.1	115861	115862	*	11	11	0	18	12	6	21	20	1	23	18	5	16	11	5	13	12	1	20	15	5	18	12	6	15	13	2	23	20	3	10	7	3	26	25	1	21	17	4	21	21	0	15	11	4	17	15	2	21	20	1	17	12	5	14	13	1	21	19	2	15	14	1
NC_059182.1	115930	115931	*	14	14	0	22	22	0	19	11	8	21	20	1	19	19	0	17	16	1	23	22	1	17	15	2	14	13	1	30	28	2	15	14	1	29	27	2	18	18	0	27	27	0	18	18	0	25	24	1	19	19	0	19	18	1	11	11	0	20	20	0	18	18	0
NC_059182.1	126286	126287	*	20	20	0	14	14	0	20	18	2	18	15	3	22	20	2	24	24	0	18	18	0	18	18	0	17	16	1	28	25	3	24	23	1	29	27	2	21	18	3	18	17	1	18	17	1	24	24	0	17	16	1	19	17	2	11	9	2	28	27	1	17	15	2
NC_059182.1	126392	126393	*	21	20	1	10	4	6	16	14	2	14	14	0	14	5	9	15	15	0	15	14	1	11	11	0	12	10	2	20	18	2	12	10	2	21	18	3	12	10	2	14	14	0	13	12	1	15	7	8	15	15	0	11	11	0	14	14	0	15	8	7	10	6	4
NC_059182.1	339939	339940	*	31	4	27	28	0	28	36	0	36	34	0	34	11	2	9	24	2	22	19	2	17	15	1	14	47	0	47	37	0	37	32	0	32	24	0	24	24	0	24	19	0	19	44	2	42	49	0	49	27	0	27	38	0	38	17	0	17	50	0	50	21	0	21
NC_059182.1	345917	345918	*	16	3	13	25	0	25	17	3	14	17	10	7	18	0	18	22	4	18	18	1	17	16	5	11	28	3	25	22	2	20	25	3	22	15	5	10	20	4	16	21	0	21	22	3	19	19	2	17	17	2	15	20	4	16	42	6	36	26	2	24	20	14	6
NC_059182.1	345963	345964	*	16	12	4	23	4	19	15	11	4	15	12	3	18	15	3	22	15	7	18	13	5	16	14	2	25	20	5	23	17	6	23	16	7	20	18	2	19	16	3	22	17	5	23	19	4	18	10	8	18	11	7	19	9	10	48	43	5	25	11	14	21	15	6
NC_059182.1	346020	346021	*	12	12	0	22	11	11	16	13	3	14	14	0	19	17	2	17	15	2	16	15	1	16	16	0	23	21	2	24	23	1	19	16	3	16	15	1	14	14	0	18	18	0	22	20	2	15	14	1	10	9	1	15	14	1	41	38	3	21	15	6	14	14	0
NC_059182.1	356893	356894	*	19	19	0	13	0	13	20	19	1	21	20	1	14	14	0	17	15	2	21	21	0	14	14	0	10	10	0	23	23	0	19	18	1	17	17	0	18	17	1	11	10	1	12	10	2	22	13	9	26	26	0	19	17	2	11	11	0	18	12	6	16	16	0
NC_059182.1	356901	356902	*	18	18	0	14	0	14	21	0	21	21	18	3	12	12	0	17	4	13	21	21	0	15	15	0	11	11	0	20	1	19	20	18	2	17	17	0	19	19	0	13	11	2	12	11	1	22	1	21	28	28	0	19	19	0	11	11	0	17	11	6	15	15	0
NC_059182.1	356909	356910	*	19	19	0	12	12	0	21	18	3	21	20	1	13	13	0	18	16	2	21	21	0	15	15	0	11	11	0	20	20	0	21	18	3	18	18	0	18	18	0	13	13	0	11	11	0	22	20	2	26	23	3	19	19	0	12	11	1	18	18	0	16	16	0
NC_059182.1	356931	356932	*	18	18	0	12	12	0	20	7	13	20	15	5	11	10	1	17	3	14	20	17	3	15	15	0	11	11	0	19	12	7	19	16	3	18	18	0	19	18	1	11	11	0	11	9	2	22	21	1	25	22	3	21	20	1	10	8	2	20	17	3	16	16	0
NC_059182.1	398931	398932	*	13	11	2	10	2	8	21	14	7	13	10	3	14	9	5	19	12	7	13	10	3	12	10	2	18	12	6	18	9	9	12	11	1	12	11	1	21	17	4	15	8	7	22	17	5	20	3	17	14	13	1	15	10	5	12	9	3	16	8	8	11	6	5
NC_059182.1	659485	659486	*	23	22	1	22	21	1	21	20	1	16	14	2	18	18	0	31	28	3	29	28	1	22	21	1	23	21	2	18	17	1	15	15	0	28	26	2	21	17	4	19	19	0	25	24	1	21	20	1	27	25	2	26	22	4	12	11	1	25	25	0	15	15	0
NC_059182.1	659516	659517	*	26	25	1	24	22	2	25	24	1	17	16	1	19	19	0	28	26	2	31	31	0	20	20	0	25	23	2	16	15	1	15	15	0	25	24	1	21	20	1	17	17	0	28	28	0	23	23	0	28	28	0	23	23	0	18	18	0	27	24	3	12	12	0
NC_059182.1	659576	659577	*	23	22	1	25	21	4	24	22	2	18	18	0	18	16	2	29	27	2	26	25	1	18	18	0	24	20	4	15	15	0	17	16	1	27	24	3	21	20	1	14	13	1	27	26	1	19	15	4	23	22	1	20	19	1	21	21	0	28	24	4	13	11	2
NC_059182.1	659597	659598	*	20	18	2	25	20	5	24	21	3	20	17	3	15	13	2	27	25	2	22	19	3	19	16	3	27	21	6	16	16	0	15	15	0	23	21	2	23	19	4	14	11	3	27	26	1	21	17	4	22	16	6	19	17	2	23	19	4	27	21	6	10	8	2
NC_059182.1	879270	879271	*	20	15	5	13	9	4	16	10	6	12	10	2	22	14	8	20	13	7	21	12	9	11	7	4	17	13	4	19	14	5	20	12	8	20	14	6	10	5	5	21	14	7	14	5	9	25	16	9	18	14	4	18	11	7	29	22	7	15	11	4	15	13	2
NC_059182.1	879290	879291	*	17	12	5	12	8	4	18	13	5	16	14	2	17	15	2	20	14	6	21	15	6	10	7	3	17	14	3	17	13	4	23	13	10	16	12	4	10	7	3	21	16	5	13	10	3	22	14	8	19	16	3	21	16	5	28	20	8	15	11	4	15	11	4
NC_059182.1	929148	929149	*	13	12	1	24	22	2	23	23	0	14	13	1	22	21	1	23	22	1	20	20	0	22	21	1	15	15	0	27	27	0	24	19	5	21	20	1	13	12	1	21	21	0	28	27	1	23	23	0	25	25	0	19	18	1	12	11	1	29	27	2	19	7	12
NC_059182.1	929191	929192	*	12	12	0	20	20	0	17	16	1	16	15	1	21	20	1	25	24	1	19	19	0	24	21	3	13	12	1	19	19	0	18	17	1	17	16	1	13	13	0	22	21	1	28	27	1	18	16	2	24	23	1	18	17	1	13	13	0	26	25	1	19	19	0
