chr	start	end	strand	coverage1	numCs1	numTs1	coverage2	numCs2	numTs2	coverage3	numCs3	numTs3	coverage4	numCs4	numTs4	coverage5	numCs5	numTs5	coverage6	numCs6	numTs6	coverage7	numCs7	numTs7	coverage8	numCs8	numTs8	coverage9	numCs9	numTs9	coverage10	numCs10	numTs10	coverage11	numCs11	numTs11	coverage12	numCs12	numTs12	coverage13	numCs13	numTs13	coverage14	numCs14	numTs14	coverage15	numCs15	numTs15	coverage16	numCs16	numTs16	coverage17	numCs17	numTs17	coverage18	numCs18	numTs18	coverage19	numCs19	numTs19	coverage20	numCs20	numTs20
NC_059182.1	115930	115931	*	20	20	0	23	12	11	12	11	1	13	8	5	20	20	0	15	13	2	18	17	1	11	11	0	13	6	7	15	14	1	29	27	2	18	18	0	27	27	0	18	18	0	25	24	1	19	19	0	19	18	1	11	11	0	20	20	0	18	18	0
NC_059182.1	126392	126393	*	13	13	0	18	18	0	12	7	5	13	12	1	10	5	5	12	9	3	12	4	8	16	14	2	12	11	1	12	10	2	21	18	3	12	10	2	14	14	0	13	12	1	15	7	8	15	15	0	11	11	0	14	14	0	15	8	7	10	6	4
NC_059182.1	347869	347870	*	19	18	1	16	8	8	15	14	1	10	6	4	25	9	16	16	16	0	18	7	11	11	6	5	12	11	1	13	12	1	21	0	21	13	13	0	23	0	23	20	20	0	23	11	12	26	25	1	18	16	2	20	13	7	18	18	0	16	0	16
NC_059182.1	356876	356877	*	21	20	1	22	21	1	15	14	1	10	10	0	10	10	0	14	14	0	11	11	0	16	14	2	13	13	0	20	19	1	19	18	1	18	18	0	11	11	0	17	16	1	24	22	2	27	27	0	18	16	2	14	14	0	19	19	0	16	15	1
NC_059182.1	398931	398932	*	14	12	2	14	8	6	12	6	6	19	14	5	12	9	3	18	14	4	12	3	9	16	12	4	14	10	4	12	11	1	12	11	1	21	17	4	15	8	7	22	17	5	20	3	17	14	13	1	15	10	5	12	9	3	16	8	8	11	6	5
NC_059182.1	659485	659486	*	16	15	1	14	13	1	21	19	2	16	16	0	17	17	0	22	20	2	16	16	0	18	18	0	20	20	0	15	15	0	28	26	2	21	17	4	19	19	0	25	24	1	21	20	1	27	25	2	26	22	4	12	11	1	25	25	0	15	15	0
NC_059182.1	659516	659517	*	16	15	1	16	15	1	23	23	0	22	22	0	19	19	0	24	23	1	19	18	1	21	21	0	21	19	2	15	15	0	25	24	1	21	20	1	17	17	0	28	28	0	23	23	0	28	28	0	23	23	0	18	18	0	27	24	3	12	12	0
NC_059182.1	659576	659577	*	15	15	0	19	16	3	16	16	0	18	18	0	22	22	0	26	23	3	14	13	1	18	17	1	21	17	4	17	16	1	27	24	3	21	20	1	14	13	1	27	26	1	19	15	4	23	22	1	20	19	1	21	21	0	28	24	4	13	11	2
NC_059182.1	659597	659598	*	16	14	2	19	14	5	16	13	3	19	17	2	24	21	3	26	22	4	16	14	2	18	15	3	22	17	5	15	15	0	23	21	2	23	19	4	14	11	3	27	26	1	21	17	4	22	16	6	19	17	2	23	19	4	27	21	6	10	8	2
NC_059182.1	929191	929192	*	20	17	3	13	12	1	19	17	2	16	15	1	10	10	0	18	18	0	12	12	0	14	13	1	15	13	2	18	17	1	17	16	1	13	13	0	22	21	1	28	27	1	18	16	2	24	23	1	18	17	1	13	13	0	26	25	1	19	19	0
