"","s1"
"(Intercept)",1422787.358012
"NC_059182.1.659597.659598",3128.67643117372
"NC_059182.1.3002220.3002221",20603.1641225932
"NC_059182.1.5848872.5848873",281.727448330813
"NC_059182.1.17929646.17929647",14179.120009703
"NC_059183.1.98523.98524",-5547.31291899084
"NC_059183.1.12276800.12276801",-12965.3387397282
"NC_059183.1.14976261.14976262",147.783317148262
"NC_059183.1.15081287.15081288",12096.8239657934
"NC_059184.1.815468.815469",5510.9589313784
"NC_059184.1.1418399.1418400",-1670.31290603254
"NC_059184.1.2687509.2687510",-3765.61487408655
"NC_059184.1.3755652.3755653",-14910.4245013261
"NC_059185.1.515750.515751",-1645.59022703595
"NC_059185.1.936897.936898",17801.2532826562
"NC_059185.1.11067866.11067867",-1106.32081794426
"NC_059185.1.11735853.11735854",292.988692144169
"NC_059186.1.3005779.3005780",-536.059810160345
"NC_059186.1.8311030.8311031",-7053.98317471198
"NC_059186.1.8665135.8665136",2741.91153907884
"NC_059187.1.248937.248938",-842.384324461305
"NC_059187.1.2859115.2859116",3554.19362965451
"NC_059187.1.4182038.4182039",-1366.63207178008
"NC_059187.1.9326175.9326176",7649.8253068755
"NC_059188.1.699939.699940",-20166.7254327072
"NC_059188.1.802185.802186",2749.03572098609
"NC_059189.1.731656.731657",-827.997991108037
"NC_059189.1.1672039.1672040",-12320.0045319471
"NC_059189.1.2802790.2802791",6958.28890324199
"NC_059189.1.3794054.3794055",2288.10392545402
"NC_059190.1.2712503.2712504",9858.18309063699
"NC_059190.1.2786633.2786634",-1459.5932623988
"NW_025533136.1.18467.18468",717.845347050173
"NW_025533362.1.27342.27343",1007.85840167524
"NC_059187.1.2735468.2735469",2750.1142568521
"NC_059189.1.1438353.1438354",-10865.2011047702
"NC_059183.1.8588272.8588273",-651.534802797726
"NC_059182.1.8329114.8329115",23508.7120355932
"NC_059183.1.3066883.3066884",16977.9769529368
"NC_059184.1.3793739.3793740",8592.7772829343
"NC_059184.1.8948527.8948528",482.851178801898
"NC_059190.1.3917181.3917182",253.147598673878
"NC_059185.1.13091242.13091243",8966.22603712052
"NC_059185.1.13091247.13091248",7615.87258929165
"NC_059182.1.755882.755883",7096.46683906942
"NC_059188.1.576817.576818",-39899.3456550818
"NC_059186.1.8143677.8143678",-11175.4885213155
"NC_059189.1.9397201.9397202",-2208.39528914959
