"","seqid","source","type","start","end","score","strand","phase","attributes"
"696","NC_059182.1","Gnomon","gene",103217,108319,".","-",".","ID=gene-LOC116922221;Dbxref=GeneID:116922221;Name=LOC116922221;gbkey=Gene;gene=LOC116922221;gene_biotype=protein_coding"
"11547","NC_059182.1","Gnomon","gene",1721787,1727975,".","+",".","ID=gene-LOC116917230;Dbxref=GeneID:116917230;Name=LOC116917230;gbkey=Gene;gene=LOC116917230;gene_biotype=protein_coding"
"19241","NC_059182.1","Gnomon","gene",2897153,2900136,".","+",".","ID=gene-LOC116915706;Dbxref=GeneID:116915706;Name=LOC116915706;gbkey=Gene;gene=LOC116915706;gene_biotype=protein_coding"
"22772","NC_059182.1","Gnomon","gene",3420717,3423422,".","-",".","ID=gene-LOC116930084;Dbxref=GeneID:116930084;Name=LOC116930084;gbkey=Gene;gene=LOC116930084;gene_biotype=protein_coding"
"35267","NC_059182.1","Gnomon","gene",5614365,5617713,".","-",".","ID=gene-LOC116924005;Dbxref=GeneID:116924005;Name=LOC116924005;gbkey=Gene;gene=LOC116924005;gene_biotype=protein_coding"
"35267.1","NC_059182.1","Gnomon","gene",5614365,5617713,".","-",".","ID=gene-LOC116924005;Dbxref=GeneID:116924005;Name=LOC116924005;gbkey=Gene;gene=LOC116924005;gene_biotype=protein_coding"
"35267.2","NC_059182.1","Gnomon","gene",5614365,5617713,".","-",".","ID=gene-LOC116924005;Dbxref=GeneID:116924005;Name=LOC116924005;gbkey=Gene;gene=LOC116924005;gene_biotype=protein_coding"
"43184","NC_059182.1","Gnomon","gene",6695812,6698731,".","+",".","ID=gene-LOC116930116;Dbxref=GeneID:116930116;Name=LOC116930116;gbkey=Gene;gene=LOC116930116;gene_biotype=protein_coding"
"46204","NC_059182.1","Gnomon","gene",15551844,15552936,".","+",".","ID=gene-LOC116916800;Dbxref=GeneID:116916800;Name=LOC116916800;gbkey=Gene;gene=LOC116916800;gene_biotype=protein_coding"
"47525","NC_059182.1","Gnomon","gene",15871103,15872205,".","-",".","ID=gene-LOC116935139;Dbxref=GeneID:116935139;Name=LOC116935139;gbkey=Gene;gene=LOC116935139;gene_biotype=protein_coding"
"47525.1","NC_059182.1","Gnomon","gene",15871103,15872205,".","-",".","ID=gene-LOC116935139;Dbxref=GeneID:116935139;Name=LOC116935139;gbkey=Gene;gene=LOC116935139;gene_biotype=protein_coding"
"47525.2","NC_059182.1","Gnomon","gene",15871103,15872205,".","-",".","ID=gene-LOC116935139;Dbxref=GeneID:116935139;Name=LOC116935139;gbkey=Gene;gene=LOC116935139;gene_biotype=protein_coding"
"47525.3","NC_059182.1","Gnomon","gene",15871103,15872205,".","-",".","ID=gene-LOC116935139;Dbxref=GeneID:116935139;Name=LOC116935139;gbkey=Gene;gene=LOC116935139;gene_biotype=protein_coding"
"47525.4","NC_059182.1","Gnomon","gene",15871103,15872205,".","-",".","ID=gene-LOC116935139;Dbxref=GeneID:116935139;Name=LOC116935139;gbkey=Gene;gene=LOC116935139;gene_biotype=protein_coding"
"47525.5","NC_059182.1","Gnomon","gene",15871103,15872205,".","-",".","ID=gene-LOC116935139;Dbxref=GeneID:116935139;Name=LOC116935139;gbkey=Gene;gene=LOC116935139;gene_biotype=protein_coding"
"51600","NC_059182.1","Gnomon","gene",16584101,16585267,".","-",".","ID=gene-LOC116936636;Dbxref=GeneID:116936636;Name=LOC116936636;gbkey=Gene;gene=LOC116936636;gene_biotype=protein_coding"
"60355","NC_059182.1","Gnomon","gene",17572003,17573939,".","+",".","ID=gene-LOC116928759;Dbxref=GeneID:116928759;Name=LOC116928759;gbkey=Gene;gene=LOC116928759;gene_biotype=protein_coding"
"60413","NC_059182.1","Gnomon","gene",17579222,17581097,".","-",".","ID=gene-LOC116928767;Dbxref=GeneID:116928767;Name=LOC116928767;gbkey=Gene;gene=LOC116928767;gene_biotype=protein_coding"
"67738","NC_059183.1","Gnomon","gene",17201381,17203044,".","+",".","ID=gene-LOC116916995;Dbxref=GeneID:116916995;Name=LOC116916995;gbkey=Gene;gene=LOC116916995;gene_biotype=protein_coding"
"68465","NC_059183.1","Gnomon","gene",17401460,17409658,".","-",".","ID=gene-LOC116916571;Dbxref=GeneID:116916571;Name=LOC116916571;gbkey=Gene;gene=LOC116916571;gene_biotype=protein_coding"
"83834","NC_059184.1","Gnomon","gene",838106,848073,".","+",".","ID=gene-LOC116919078;Dbxref=GeneID:116919078;Name=LOC116919078;gbkey=Gene;gene=LOC116919078;gene_biotype=protein_coding"
"83834.1","NC_059184.1","Gnomon","gene",838106,848073,".","+",".","ID=gene-LOC116919078;Dbxref=GeneID:116919078;Name=LOC116919078;gbkey=Gene;gene=LOC116919078;gene_biotype=protein_coding"
"83834.2","NC_059184.1","Gnomon","gene",838106,848073,".","+",".","ID=gene-LOC116919078;Dbxref=GeneID:116919078;Name=LOC116919078;gbkey=Gene;gene=LOC116919078;gene_biotype=protein_coding"
"86144","NC_059184.1","Gnomon","gene",1314421,1315692,".","+",".","ID=gene-LOC116919134;Dbxref=GeneID:116919134;Name=LOC116919134;gbkey=Gene;gene=LOC116919134;gene_biotype=protein_coding"
"87935","NC_059184.1","Gnomon","gene",1580962,1599301,".","+",".","ID=gene-LOC116918596;Dbxref=GeneID:116918596;Name=LOC116918596;gbkey=Gene;gene=LOC116918596;gene_biotype=protein_coding"
"91430","NC_059184.1","Gnomon","gene",7007433,7011962,".","+",".","ID=gene-LOC116918842;Dbxref=GeneID:116918842;Name=LOC116918842;gbkey=Gene;gene=LOC116918842;gene_biotype=protein_coding"
"108529","NC_059184.1","Gnomon","gene",13436944,13438405,".","-",".","ID=gene-LOC116918443;Dbxref=GeneID:116918443;Name=LOC116918443;gbkey=Gene;gene=LOC116918443;gene_biotype=protein_coding"
"109477","NC_059184.1","Gnomon","gene",13557605,13561105,".","+",".","ID=gene-LOC116918243;Dbxref=GeneID:116918243;Name=LOC116918243;gbkey=Gene;gene=LOC116918243;gene_biotype=protein_coding"
"113029","NC_059185.1","Gnomon","gene",147435,148872,".","+",".","ID=gene-LOC116921837;Dbxref=GeneID:116921837;Name=LOC116921837;gbkey=Gene;gene=LOC116921837;gene_biotype=protein_coding"
"115472","NC_059185.1","Gnomon","gene",377030,379417,".","-",".","ID=gene-LOC116935234;Dbxref=GeneID:116935234;Name=LOC116935234;gbkey=Gene;gene=LOC116935234;gene_biotype=protein_coding"
"122721","NC_059185.1","Gnomon","gene",1169962,1180801,".","-",".","ID=gene-LOC116921363;Dbxref=GeneID:116921363;Name=LOC116921363;gbkey=Gene;gene=LOC116921363;gene_biotype=protein_coding"
"130918","NC_059185.1","Gnomon","gene",2079718,2083770,".","+",".","ID=gene-LOC116921135;Dbxref=GeneID:116921135;Name=LOC116921135;gbkey=Gene;gene=LOC116921135;gene_biotype=protein_coding"
"165765","NC_059185.1","Gnomon","gene",11595902,11600823,".","+",".","ID=gene-LOC116920787;Dbxref=GeneID:116920787;Name=LOC116920787;gbkey=Gene;gene=LOC116920787;gene_biotype=protein_coding"
"173400","NC_059185.1","Gnomon","gene",12252033,12257963,".","-",".","ID=gene-LOC116933875;Dbxref=GeneID:116933875;Name=LOC116933875;gbkey=Gene;gene=LOC116933875;gene_biotype=protein_coding"
"173459","NC_059185.1","Gnomon","gene",12255294,12256621,".","+",".","ID=gene-LOC116920324;Dbxref=GeneID:116920324;Name=LOC116920324;gbkey=Gene;gene=LOC116920324;gene_biotype=protein_coding"
"173400.1","NC_059185.1","Gnomon","gene",12252033,12257963,".","-",".","ID=gene-LOC116933875;Dbxref=GeneID:116933875;Name=LOC116933875;gbkey=Gene;gene=LOC116933875;gene_biotype=protein_coding"
"173459.1","NC_059185.1","Gnomon","gene",12255294,12256621,".","+",".","ID=gene-LOC116920324;Dbxref=GeneID:116920324;Name=LOC116920324;gbkey=Gene;gene=LOC116920324;gene_biotype=protein_coding"
"184059","NC_059186.1","Gnomon","gene",82072,86086,".","+",".","ID=gene-LOC123466239;Dbxref=GeneID:123466239;Name=LOC123466239;gbkey=Gene;gene=LOC123466239;gene_biotype=protein_coding"
"184248","NC_059186.1","Gnomon","gene",94922,96222,".","-",".","ID=gene-LOC116922458;Dbxref=GeneID:116922458;Name=LOC116922458;gbkey=Gene;gene=LOC116922458;gene_biotype=protein_coding"
"218398","NC_059187.1","Gnomon","gene",2734670,2748520,".","+",".","ID=gene-LOC116925869;Dbxref=GeneID:116925869;Name=LOC116925869;gbkey=Gene;gene=LOC116925869;gene_biotype=protein_coding"
"233160","NC_059188.1","Gnomon","gene",12099079,12112887,".","+",".","ID=gene-LOC116926490;Dbxref=GeneID:116926490;Name=LOC116926490;gbkey=Gene;gene=LOC116926490;gene_biotype=protein_coding"
"233160.1","NC_059188.1","Gnomon","gene",12099079,12112887,".","+",".","ID=gene-LOC116926490;Dbxref=GeneID:116926490;Name=LOC116926490;gbkey=Gene;gene=LOC116926490;gene_biotype=protein_coding"
"233160.2","NC_059188.1","Gnomon","gene",12099079,12112887,".","+",".","ID=gene-LOC116926490;Dbxref=GeneID:116926490;Name=LOC116926490;gbkey=Gene;gene=LOC116926490;gene_biotype=protein_coding"
"233362","NC_059188.1","Gnomon","gene",12127143,12132734,".","-",".","ID=gene-LOC116926485;Dbxref=GeneID:116926485;Name=LOC116926485;gbkey=Gene;gene=LOC116926485;gene_biotype=protein_coding"
"238247","NC_059189.1","Gnomon","gene",830867,857102,".","-",".","ID=gene-LOC116929579;Dbxref=GeneID:116929579;Name=LOC116929579;gbkey=Gene;gene=LOC116929579;gene_biotype=protein_coding"
"238397","NC_059189.1","Gnomon","gene",907153,908605,".","+",".","ID=gene-LOC116929591;Dbxref=GeneID:116929591;Name=LOC116929591;gbkey=Gene;gene=LOC116929591;gene_biotype=protein_coding"
"241559","NC_059189.1","Gnomon","gene",1488214,1504108,".","+",".","ID=gene-LOC116929297;Dbxref=GeneID:116929297;Name=LOC116929297;gbkey=Gene;gene=LOC116929297;gene_biotype=protein_coding"
"241605","NC_059189.1","Gnomon","gene",1510814,1514481,".","+",".","ID=gene-LOC116929290;Dbxref=GeneID:116929290;Name=LOC116929290;gbkey=Gene;gene=LOC116929290;gene_biotype=protein_coding"
"245554","NC_059189.1","Gnomon","gene",2108998,2159704,".","+",".","ID=gene-LOC116929400;Dbxref=GeneID:116929400;Name=LOC116929400;gbkey=Gene;gene=LOC116929400;gene_biotype=protein_coding"
"248209","NC_059189.1","Gnomon","gene",2728944,2730407,".","-",".","ID=gene-LOC116928745;Dbxref=GeneID:116928745;Name=LOC116928745;gbkey=Gene;gene=LOC116928745;gene_biotype=protein_coding"
"255226","NC_059189.1","Gnomon","gene",3793607,3796605,".","+",".","ID=gene-LOC116928940;Dbxref=GeneID:116928940;Name=LOC116928940;gbkey=Gene;gene=LOC116928940;gene_biotype=protein_coding"
"255672","NC_059189.1","Gnomon","gene",3951870,3954918,".","-",".","ID=gene-LOC116928941;Dbxref=GeneID:116928941;Name=LOC116928941;gbkey=Gene;gene=LOC116928941;gene_biotype=protein_coding"
"257826","NC_059189.1","Gnomon","gene",4244411,4246116,".","-",".","ID=gene-LOC116929071;Dbxref=GeneID:116929071;Name=LOC116929071;gbkey=Gene;gene=LOC116929071;gene_biotype=protein_coding"
"264404","NC_059189.1","Gnomon","gene",6762754,6765675,".","-",".","ID=gene-LOC116929121;Dbxref=GeneID:116929121;Name=LOC116929121;gbkey=Gene;gene=LOC116929121;gene_biotype=protein_coding"
"272133","NC_059189.1","Gnomon","gene",9544050,9545000,".","+",".","ID=gene-LOC116929494;Dbxref=GeneID:116929494;Name=LOC116929494;gbkey=Gene;gene=LOC116929494;gene_biotype=protein_coding"
"272406","NC_059189.1","Gnomon","gene",9652778,9654926,".","+",".","ID=gene-LOC116929537;Dbxref=GeneID:116929537;Name=LOC116929537;gbkey=Gene;gene=LOC116929537;gene_biotype=protein_coding"
"38008","NC_059182.1","Gnomon","gene",5922449,5925766,".","-",".","ID=gene-LOC116924903;Dbxref=GeneID:116924903;Name=LOC116924903;gbkey=Gene;gene=LOC116924903;gene_biotype=protein_coding"
"38008.1","NC_059182.1","Gnomon","gene",5922449,5925766,".","-",".","ID=gene-LOC116924903;Dbxref=GeneID:116924903;Name=LOC116924903;gbkey=Gene;gene=LOC116924903;gene_biotype=protein_coding"
"206634","NC_059186.1","Gnomon","gene",7702825,7704930,".","-",".","ID=gene-LOC123472673;Dbxref=GeneID:123472673;Name=LOC123472673;gbkey=Gene;gene=LOC123472673;gene_biotype=protein_coding"
"228287","NC_059188.1","Gnomon","gene",11047300,11053803,".","+",".","ID=gene-LOC116926268;Dbxref=GeneID:116926268;Name=LOC116926268;gbkey=Gene;gene=LOC116926268;gene_biotype=protein_coding"
"228335","NC_059188.1","Gnomon","gene",11050305,11051817,".","-",".","ID=gene-LOC116926280;Dbxref=GeneID:116926280;Name=LOC116926280;gbkey=Gene;gene=LOC116926280;gene_biotype=protein_coding"
"253868","NC_059189.1","Gnomon","gene",3693754,3695517,".","+",".","ID=gene-LOC116928903;Dbxref=GeneID:116928903;Name=LOC116928903;gbkey=Gene;gene=LOC116928903;gene_biotype=protein_coding"
"267719","NC_059189.1","Gnomon","gene",8903795,8908088,".","+",".","ID=gene-LOC116929689;Dbxref=GeneID:116929689;Name=LOC116929689;gbkey=Gene;gene=LOC116929689;gene_biotype=protein_coding"
"36071","NC_059182.1","Gnomon","gene",5716717,5718296,".","-",".","ID=gene-LOC116924333;Dbxref=GeneID:116924333;Name=LOC116924333;gbkey=Gene;gene=LOC116924333;gene_biotype=protein_coding"
"36071.1","NC_059182.1","Gnomon","gene",5716717,5718296,".","-",".","ID=gene-LOC116924333;Dbxref=GeneID:116924333;Name=LOC116924333;gbkey=Gene;gene=LOC116924333;gene_biotype=protein_coding"
"36071.2","NC_059182.1","Gnomon","gene",5716717,5718296,".","-",".","ID=gene-LOC116924333;Dbxref=GeneID:116924333;Name=LOC116924333;gbkey=Gene;gene=LOC116924333;gene_biotype=protein_coding"
"36071.3","NC_059182.1","Gnomon","gene",5716717,5718296,".","-",".","ID=gene-LOC116924333;Dbxref=GeneID:116924333;Name=LOC116924333;gbkey=Gene;gene=LOC116924333;gene_biotype=protein_coding"
"83453","NC_059184.1","Gnomon","gene",796193,801661,".","-",".","ID=gene-LOC116919839;Dbxref=GeneID:116919839;Name=LOC116919839;gbkey=Gene;gene=LOC116919839;gene_biotype=protein_coding"
"83453.1","NC_059184.1","Gnomon","gene",796193,801661,".","-",".","ID=gene-LOC116919839;Dbxref=GeneID:116919839;Name=LOC116919839;gbkey=Gene;gene=LOC116919839;gene_biotype=protein_coding"
"166039","NC_059185.1","Gnomon","gene",11653164,11657689,".","+",".","ID=gene-LOC116920132;Dbxref=GeneID:116920132;Name=LOC116920132;gbkey=Gene;gene=LOC116920132;gene_biotype=protein_coding"
"213029","NC_059186.1","Gnomon","gene",8620281,8623115,".","-",".","ID=gene-LOC116922836;Dbxref=GeneID:116922836;Name=LOC116922836;gbkey=Gene;gene=LOC116922836;gene_biotype=protein_coding"
"218227","NC_059187.1","Gnomon","gene",2710403,2712950,".","+",".","ID=gene-LOC116925877;Dbxref=GeneID:116925877;Name=LOC116925877;gbkey=Gene;gene=LOC116925877;gene_biotype=protein_coding"
"218227.1","NC_059187.1","Gnomon","gene",2710403,2712950,".","+",".","ID=gene-LOC116925877;Dbxref=GeneID:116925877;Name=LOC116925877;gbkey=Gene;gene=LOC116925877;gene_biotype=protein_coding"
"218227.2","NC_059187.1","Gnomon","gene",2710403,2712950,".","+",".","ID=gene-LOC116925877;Dbxref=GeneID:116925877;Name=LOC116925877;gbkey=Gene;gene=LOC116925877;gene_biotype=protein_coding"
"220902","NC_059187.1","Gnomon","gene",2948690,2950336,".","-",".","ID=gene-LOC116925639;Dbxref=GeneID:116925639;Name=LOC116925639;gbkey=Gene;gene=LOC116925639;gene_biotype=lncRNA"
"220902.1","NC_059187.1","Gnomon","gene",2948690,2950336,".","-",".","ID=gene-LOC116925639;Dbxref=GeneID:116925639;Name=LOC116925639;gbkey=Gene;gene=LOC116925639;gene_biotype=lncRNA"
