"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"375","NC_059182.1",105713,105714,"*",5.07069072803261e-05,0.000406934272296376,-21.8134809035653
"7197","NC_059182.1",1722265,1722266,"*",1.29255768442767e-07,2.48323720210955e-06,-23.7433862433862
"13508","NC_059182.1",2897710,2897711,"*",2.67426139191814e-08,6.22547435378561e-07,27.8010537675363
"16301","NC_059182.1",3421818,3421819,"*",0.000334602232871072,0.00184644443062036,-16.5516924208977
"21762","NC_059182.1",5616923,5616924,"*",8.38701551598726e-11,3.51607259549623e-09,-36.3719083464306
"21763","NC_059182.1",5616932,5616933,"*",1.39909786604846e-11,8.02005236041144e-10,-37.1069182389937
"21764","NC_059182.1",5616943,5616944,"*",1.96616177184434e-11,1.02270570247633e-09,-36.4197530864198
"26678","NC_059182.1",6696712,6696713,"*",5.82293226174296e-16,9.62095107398642e-14,-37.8140481245577
"28006","NC_059182.1",7117271,7117272,"*",2.83483540916937e-07,5.03959865470762e-06,28.1071878007254
"40605","NC_059182.1",12794698,12794699,"*",0.000143557450488728,0.000946103519022757,17.5841903609599
"40892","NC_059182.1",12869428,12869429,"*",9.5874963985064e-22,1.34648155228196e-18,45.9435230838189
"41454","NC_059182.1",13111269,13111270,"*",3.12876084830203e-05,0.000282577233469986,18.1736392262708
"41455","NC_059182.1",13111317,13111318,"*",2.87755285986838e-06,3.8125244613829e-05,18.1322957198444
"50309","NC_059182.1",15552712,15552713,"*",0.000235424250702935,0.00137763811216263,17.2187688514701
"51500","NC_059182.1",15871314,15871315,"*",3.72413226669119e-05,0.00032285333455789,20.2942412778478
"51501","NC_059182.1",15871334,15871335,"*",4.92134057952945e-05,0.000398363129948498,19.5198383922097
"51502","NC_059182.1",15871340,15871341,"*",0.00014951808584701,0.000976675879817275,18.5137457044674
"51503","NC_059182.1",15871365,15871366,"*",2.24585807083061e-05,0.000210274322285574,20.8315240990013
"51504","NC_059182.1",15871382,15871383,"*",0.000143827305176496,0.000946103519022757,18.5708998625357
"51505","NC_059182.1",15871397,15871398,"*",9.47757377083887e-05,0.000680840850642551,19.2919432513341
"54233","NC_059182.1",16584481,16584482,"*",7.85622798632627e-05,0.000583427299980406,-20.1136363636364
"57818","NC_059182.1",17572406,17572407,"*",0.00254792055436374,0.00914006553703243,-15.4515561165178
"57875","NC_059182.1",17580312,17580313,"*",1.12204564774962e-07,2.21946024649543e-06,-26.0743321718932
"60400","NC_059182.1",18754280,18754281,"*",7.91702641507155e-19,2.22375677105516e-16,-40.0686341798216
"60401","NC_059182.1",18754293,18754294,"*",9.43180720264358e-12,6.46154312901679e-10,-31.7540891144952
"60402","NC_059182.1",18754307,18754308,"*",1.34676110924068e-11,7.88087644551754e-10,-31.4025750052035
"60403","NC_059182.1",18754314,18754315,"*",1.34445837812243e-11,7.88087644551754e-10,-32.2938877043355
"60407","NC_059182.1",18754468,18754469,"*",0.00241590134977365,0.00878635342688859,-16.1339121283873
"89662","NC_059183.1",7397422,7397423,"*",5.82136804761622e-05,0.000454448657503672,22.2463271675421
"91766","NC_059183.1",8031294,8031295,"*",0.000277422523855477,0.00158380534816843,16.522279250711
"94181","NC_059183.1",8541914,8541915,"*",0.000193567775760456,0.00120287310442508,19.6158296690581
"100424","NC_059183.1",11245525,11245526,"*",0.000223680532485622,0.0013254856665901,21.4486598174826
"104471","NC_059183.1",12422476,12422477,"*",2.18704060939604e-09,6.89606200883687e-08,-23.8961038961039
"104473","NC_059183.1",12422495,12422496,"*",7.4343829772748e-05,0.000559836599784092,-15.360091281294
"104994","NC_059183.1",12546217,12546218,"*",4.11131976758725e-05,0.000348881910663145,-19.0568739770867
"111010","NC_059183.1",13932522,13932523,"*",0.000195390501572583,0.0012115195739803,-15.8809879525732
"115600","NC_059183.1",14975986,14975987,"*",2.05710364707557e-07,3.72777477717102e-06,-15.0375939849624
"115601","NC_059183.1",14975992,14975993,"*",9.54672057097641e-10,3.27013399366063e-08,-16.0395136778115
"115603","NC_059183.1",14976261,14976262,"*",1.41670785768343e-06,2.11664313785441e-05,26.0120311394197
"116964","NC_059183.1",15381024,15381025,"*",9.53948119761677e-06,0.000105077508201469,-25.3532391362303
"124924","NC_059183.1",17201698,17201699,"*",1.35598570406684e-05,0.000140026874878448,19.511965328811
