"","seqid","source","type","start","end","score","strand","phase","attributes"
"1","NC_059182.1","RefSeq","region",1,19099978,".","+",".","ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body"
"1796","NC_059182.1","Gnomon","gene",355580,357597,".","-",".","ID=gene-LOC116920274;Dbxref=GeneID:116920274;Name=LOC116920274;gbkey=Gene;gene=LOC116920274;gene_biotype=protein_coding"
"1797","NC_059182.1","Gnomon","mRNA",355580,357597,".","-",".","ID=rna-XM_032926447.2;Parent=gene-LOC116920274;Dbxref=GeneID:116920274,Genbank:XM_032926447.2;Name=XM_032926447.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116920274;model_evidence=Supporting evidence includes similarity to: 26 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 145 samples with support for all annotated introns;product=3-oxoacyl-[acyl-carrier-protein] reductase FabG%2C transcript variant X1;transcript_id=XM_032926447.2"
"1800","NC_059182.1","Gnomon","exon",356876,357025,".","-",".","ID=exon-XM_032926447.2-3;Parent=rna-XM_032926447.2;Dbxref=GeneID:116920274,Genbank:XM_032926447.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116920274;product=3-oxoacyl-[acyl-carrier-protein] reductase FabG%2C transcript variant X1;transcript_id=XM_032926447.2"
"1808","NC_059182.1","Gnomon","CDS",356876,357025,".","-","2","ID=cds-XP_032782338.1;Parent=rna-XM_032926447.2;Dbxref=GeneID:116920274,Genbank:XP_032782338.1;Name=XP_032782338.1;gbkey=CDS;gene=LOC116920274;product=3-oxoacyl-[acyl-carrier-protein] reductase FabG;protein_id=XP_032782338.1"
"1815","NC_059182.1","Gnomon","mRNA",355580,357589,".","-",".","ID=rna-XM_045175299.1;Parent=gene-LOC116920274;Dbxref=GeneID:116920274,Genbank:XM_045175299.1;Name=XM_045175299.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116920274;model_evidence=Supporting evidence includes similarity to: 26 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 122 samples with support for all annotated introns;product=3-oxoacyl-[acyl-carrier-protein] reductase FabG%2C transcript variant X3;transcript_id=XM_045175299.1"
"1819","NC_059182.1","Gnomon","exon",356876,357025,".","-",".","ID=exon-XM_045175299.1-4;Parent=rna-XM_045175299.1;Dbxref=GeneID:116920274,Genbank:XM_045175299.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116920274;product=3-oxoacyl-[acyl-carrier-protein] reductase FabG%2C transcript variant X3;transcript_id=XM_045175299.1"
"1827","NC_059182.1","Gnomon","CDS",356876,357025,".","-","2","ID=cds-XP_045031234.1;Parent=rna-XM_045175299.1;Dbxref=GeneID:116920274,Genbank:XP_045031234.1;Name=XP_045031234.1;gbkey=CDS;gene=LOC116920274;product=3-oxoacyl-[acyl-carrier-protein] reductase FabG;protein_id=XP_045031234.1"
"1834","NC_059182.1","Gnomon","mRNA",355580,357387,".","-",".","ID=rna-XM_045175294.1;Parent=gene-LOC116920274;Dbxref=GeneID:116920274,Genbank:XM_045175294.1;Name=XM_045175294.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116920274;model_evidence=Supporting evidence includes similarity to: 26 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 143 samples with support for all annotated introns;product=3-oxoacyl-[acyl-carrier-protein] reductase FabG%2C transcript variant X2;transcript_id=XM_045175294.1"
"1837","NC_059182.1","Gnomon","exon",356876,357025,".","-",".","ID=exon-XM_045175294.1-3;Parent=rna-XM_045175294.1;Dbxref=GeneID:116920274,Genbank:XM_045175294.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116920274;product=3-oxoacyl-[acyl-carrier-protein] reductase FabG%2C transcript variant X2;transcript_id=XM_045175294.1"
"1845","NC_059182.1","Gnomon","CDS",356876,357025,".","-","2","ID=cds-XP_045031229.1;Parent=rna-XM_045175294.1;Dbxref=GeneID:116920274,Genbank:XP_045031229.1;Name=XP_045031229.1;gbkey=CDS;gene=LOC116920274;product=3-oxoacyl-[acyl-carrier-protein] reductase FabG;protein_id=XP_045031229.1"
"1.1","NC_059182.1","RefSeq","region",1,19099978,".","+",".","ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body"
