"symbol","seqid"
"LOC116920147","NC_059182.1"
"LOC116918728","NC_059182.1"
"LOC123476823","NC_059182.1"
"LOC116925371","NC_059182.1"
"LOC116928767","NC_059182.1"
"LOC116918597","NC_059184.1"
"LOC116918596","NC_059184.1"
"LOC116918596","NC_059184.1"
"LOC116919565","NC_059184.1"
"LOC116918225","NC_059184.1"
"LOC116918225","NC_059184.1"
"LOC116918247","NC_059184.1"
"LOC116921475","NC_059185.1"
"LOC116921272","NC_059185.1"
"LOC116920680","NC_059185.1"
"LOC116920824","NC_059185.1"
"LOC116920030","NC_059185.1"
"LOC116925869","NC_059187.1"
"LOC116915676","NC_059187.1"
"LOC116926490","NC_059188.1"
"LOC116926494","NC_059188.1"
"LOC116929579","NC_059189.1"
"LOC123475606","NC_059189.1"
"LOC116929290","NC_059189.1"
"LOC116928940","NC_059189.1"
"LOC116928941","NC_059189.1"
"LOC116918209","NC_059182.1"
"LOC116936564","NC_059182.1"
"LOC116917812","NC_059183.1"
"LOC116921369","NC_059185.1"
"LOC116921369","NC_059185.1"
"LOC116922743","NC_059186.1"
"LOC116922743","NC_059186.1"
"LOC116922743","NC_059186.1"
"LOC116922962","NC_059186.1"
"LOC116924302","NC_059187.1"
"LOC116928903","NC_059189.1"
"LOC116929043","NC_059189.1"
"LOC116929709","NC_059189.1"
"LOC116929709","NC_059189.1"
"LOC116929444","NC_059189.1"
"LOC116921284","NC_059185.1"
"LOC116920132","NC_059185.1"
"LOC116924302","NC_059187.1"
"LOC116923549","NC_059186.1"
"LOC116929399","NC_059189.1"
"LOC116931564","NC_059182.1"
"LOC116919850","NC_059184.1"
"LOC116919149","NC_059184.1"
"LOC116918469","NC_059184.1"
"LOC116936131","NC_059182.1"
"LOC116917812","NC_059183.1"
"LOC116920335","NC_059182.1"
"LOC116924302","NC_059187.1"
"LOC116920769","NC_059185.1"
"LOC116919115","NC_059184.1"
"LOC116921839","NC_059185.1"
"LOC116921369","NC_059185.1"
"LOC116921369","NC_059185.1"
"LOC116919195","NC_059184.1"
"LOC116919035","NC_059182.1"
"LOC116919035","NC_059182.1"
